X,Y
0.15,-265.998171324423
0.36,-265.788171324423
0.57,-265.788171324423
0.78,-265.578171324423
0.99,-265.578171324423
1.2,-265.368171324423
1.41,-265.368171324423
1.62,-265.158171324423
1.83,-264.948171324423
2.04,-264.948171324423
2.25,-264.948171324423
2.46,-264.738171324423
2.67,-264.738171324423
2.88,-264.528171324423
3.09,-264.318171324423
3.3,-264.318171324423
3.51,-264.108171324423
3.72,-264.108171324423
3.93,-263.898171324423
4.14,-263.898171324423
4.35,-263.688171324423
4.56,-263.688171324423
4.77,-263.478171324423
4.98,-263.478171324423
5.19,-263.268171324423
5.4,-263.058171324423
5.61,-262.848171324423
5.82,-262.848171324423
6.03,-262.848171324423
6.24,-262.848171324423
6.45,-262.638171324423
6.66,-262.428171324423
6.87,-262.428171324423
7.08,-262.218171324423
7.29,-262.218171324423
7.5,-262.008171324423
7.71,-262.008171324423
7.92,-261.798171324423
8.13,-261.798171324423
8.34,-261.588171324423
8.55,-261.588171324423
8.76,-261.378171324423
8.97,-261.168171324423
9.18,-260.958171324423
9.39,-260.958171324423
9.6,-260.958171324423
9.81,-260.748171324423
10.02,-260.538171324423
10.23,-260.328171324423
10.44,-260.328171324423
10.65,-260.118171324423
10.86,-260.118171324423
11.07,-259.908171324423
11.28,-259.698171324423
11.49,-259.488171324423
11.7,-259.488171324423
11.91,-259.278171324423
12.12,-259.068171324423
12.33,-259.068171324423
12.54,-258.858171324423
12.75,-258.648171324423
12.96,-258.648171324423
13.17,-258.438171324423
13.38,-258.228171324423
13.59,-258.018171324423
13.8,-258.018171324423
14.01,-257.808171324423
14.22,-257.808171324423
14.43,-257.598171324423
14.64,-257.388171324423
14.85,-257.178171324423
15.06,-256.968171324423
15.27,-257.178171324423
15.48,-256.968171324423
15.69,-256.758171324423
15.9,-256.548171324423
16.11,-256.338171324423
16.32,-256.128171324423
16.53,-256.128171324423
16.74,-256.128171324423
16.95,-255.918171324423
17.16,-255.708171324423
17.37,-255.498171324423
17.58,-255.288171324423
17.79,-255.288171324423
18,-255.078171324423
18.21,-255.078171324423
18.42,-254.868171324423
18.63,-254.658171324423
18.84,-254.448171324423
19.05,-254.448171324423
19.26,-254.238171324423
19.47,-254.028171324423
19.68,-254.028171324423
19.89,-253.818171324423
20.1,-253.818171324423
20.31,-253.608171324423
20.52,-253.398171324423
20.73,-253.188171324423
20.94,-253.188171324423
21.15,-252.978171324423
21.36,-252.978171324423
21.57,-252.768171324423
21.78,-252.558171324423
21.99,-252.348171324423
22.2,-252.138171324423
22.41,-252.138171324423
22.62,-252.138171324423
22.83,-251.928171324423
22.83,-251.718171324423
23.04,-251.508171324423
23.25,-251.298171324423
23.46,-251.088171324423
23.67,-251.088171324423
23.88,-251.088171324423
24.09,-250.878171324423
24.3,-250.668171324423
24.51,-250.458171324423
24.72,-250.248171324423
24.93,-250.248171324423
25.14,-250.038171324423
25.35,-250.038171324423
25.56,-249.828171324423
25.77,-249.618171324423
25.98,-249.408171324423
26.19,-249.198171324423
26.4,-249.198171324423
26.61,-248.988171324423
26.82,-248.778171324423
27.03,-248.568171324423
27.24,-248.358171324423
27.45,-248.358171324423
27.66,-248.148171324423
27.87,-248.148171324423
28.08,-247.938171324423
28.29,-247.728171324423
28.5,-247.518171324423
28.71,-247.518171324423
28.92,-247.308171324423
29.13,-247.098171324423
29.34,-247.098171324423
29.55,-246.888171324423
29.76,-246.678171324423
29.97,-246.468171324423
30.18,-246.258171324423
30.39,-246.048171324423
30.6,-246.048171324423
30.81,-245.838171324423
31.02,-245.838171324423
31.23,-245.628171324423
31.44,-245.418171324423
31.65,-245.208171324423
31.86,-245.208171324423
32.07,-244.998171324423
32.28,-244.998171324423
32.49,-244.788171324423
32.7,-244.578171324423
32.7,-244.368171324423
32.91,-244.158171324423
33.12,-244.158171324423
33.33,-243.948171324423
33.54,-243.948171324423
33.75,-243.738171324423
33.96,-243.528171324423
34.17,-243.318171324423
34.38,-243.108171324423
34.59,-243.108171324423
34.8,-243.108171324423
35.01,-242.898171324423
35.01,-242.688171324423
35.22,-242.478171324423
35.43,-242.268171324423
35.64,-242.058171324423
35.85,-242.058171324423
36.06,-241.848171324423
36.06,-241.638171324423
36.27,-241.428171324423
36.27,-241.218171324423
36.48,-241.008171324423
36.69,-241.008171324423
36.9,-240.798171324423
37.11,-240.588171324423
37.11,-240.378171324423
37.32,-240.168171324423
37.53,-239.958171324423
37.74,-239.958171324423
37.74,-239.748171324423
37.95,-239.538171324423
38.16,-239.328171324423
38.37,-239.118171324423
38.58,-238.908171324423
38.79,-238.698171324423
39,-238.488171324423
39,-238.278171324423
39.21,-238.068171324423
39.42,-238.068171324423
39.63,-237.858171324423
39.84,-237.648171324423
39.84,-237.438171324423
40.05,-237.228171324423
40.26,-237.018171324423
40.47,-237.018171324423
40.47,-236.808171324423
40.68,-236.598171324423
40.89,-236.388171324423
41.1,-236.178171324423
41.31,-235.968171324423
41.52,-235.758171324423
41.52,-235.548171324423
41.73,-235.338171324423
41.94,-235.128171324423
42.15,-234.918171324423
42.36,-234.918171324423
42.57,-234.708171324423
42.57,-234.498171324423
42.78,-234.288171324423
42.78,-234.078171324423
42.99,-233.868171324423
43.2,-233.868171324423
43.41,-233.868171324423
43.41,-233.658171324423
43.62,-233.448171324423
43.62,-233.238171324423
43.83,-233.028171324423
44.04,-232.818171324423
44.25,-232.818171324423
44.25,-232.608171324423
44.46,-232.398171324423
44.67,-232.398171324423
44.67,-232.188171324423
44.88,-231.978171324423
45.09,-231.768171324423
45.3,-231.558171324423
45.51,-231.348171324423
45.51,-231.138171324423
45.72,-230.928171324423
45.93,-230.718171324423
46.14,-230.718171324423
46.35,-230.508171324423
46.35,-230.298171324423
46.56,-230.088171324423
46.77,-229.878171324423
46.98,-229.668171324423
47.19,-229.668171324423
47.19,-229.458171324423
47.4,-229.248171324423
47.61,-229.038171324423
47.61,-228.828171324423
47.82,-228.618171324423
48.03,-228.618171324423
48.24,-228.408171324423
48.45,-228.618171324423
48.66,-228.408171324423
48.87,-228.408171324423
49.08,-228.198171324423
49.29,-228.198171324423
49.5,-228.198171324423
49.71,-228.198171324423
49.92,-227.988171324423
50.13,-227.988171324423
50.34,-227.778171324423
50.55,-227.778171324423
50.76,-227.988171324423
50.97,-227.778171324423
51.18,-227.778171324423
51.39,-227.778171324423
51.6,-227.568171324423
51.81,-227.778171324423
52.02,-227.568171324423
52.23,-227.568171324423
52.44,-227.358171324423
52.65,-227.358171324423
52.86,-227.148171324423
53.07,-227.358171324423
53.28,-227.358171324423
53.49,-227.148171324423
53.7,-227.148171324423
53.91,-226.938171324423
54.12,-227.148171324423
54.33,-226.938171324423
54.54,-226.938171324423
54.75,-226.938171324423
54.96,-226.728171324423
55.17,-226.728171324423
55.38,-226.728171324423
55.59,-226.728171324423
55.8,-226.728171324423
56.01,-226.518171324423
56.22,-226.518171324423
56.43,-226.518171324423
56.64,-226.518171324423
56.85,-226.308171324423
57.06,-226.308171324423
57.27,-226.098171324423
57.48,-226.098171324423
57.69,-226.098171324423
57.9,-226.098171324423
58.11,-226.098171324423
58.32,-226.098171324423
58.53,-225.888171324423
58.74,-226.098171324423
58.95,-225.888171324423
59.16,-225.888171324423
59.37,-225.678171324423
59.58,-225.678171324423
59.79,-225.468171324423
60,-225.678171324423
60.21,-225.468171324423
60.42,-225.468171324423
60.63,-225.468171324423
60.84,-225.258171324423
61.05,-225.468171324423
61.26,-225.468171324423
61.47,-225.258171324423
61.68,-225.258171324423
61.89,-225.048171324423
62.1,-225.048171324423
62.31,-225.048171324423
62.52,-225.048171324423
62.73,-224.838171324423
62.94,-224.838171324423
63.15,-224.628171324423
63.36,-224.838171324423
63.57,-224.628171324423
63.78,-224.418171324423
63.99,-224.418171324423
64.2,-224.418171324423
64.41,-224.208171324423
64.62,-224.418171324423
64.83,-224.208171324423
65.04,-223.998171324423
65.25,-223.998171324423
65.46,-223.788171324423
65.67,-223.788171324423
65.88,-223.788171324423
66.09,-223.578171324423
66.3,-223.578171324423
66.51,-223.578171324423
66.72,-223.368171324423
66.93,-223.368171324423
67.14,-223.368171324423
67.35,-223.158171324423
67.56,-222.948171324423
67.77,-222.948171324423
67.98,-222.738171324423
68.19,-222.738171324423
68.4,-222.738171324423
68.61,-222.738171324423
68.82,-222.528171324423
69.03,-222.528171324423
69.24,-222.528171324423
69.45,-222.318171324423
69.66,-222.318171324423
69.87,-222.108171324423
70.08,-221.898171324423
70.29,-221.898171324423
70.5,-221.898171324423
70.71,-221.898171324423
70.92,-221.688171324423
71.13,-221.688171324423
71.34,-221.478171324423
71.55,-221.688171324423
71.76,-221.478171324423
71.97,-221.268171324423
72.18,-221.268171324423
72.39,-221.058171324423
72.6,-221.058171324423
72.81,-221.058171324423
73.02,-220.848171324423
73.23,-220.848171324423
73.44,-220.848171324423
73.65,-220.638171324423
73.86,-220.638171324423
74.07,-220.638171324423
74.28,-220.428171324423
74.49,-220.428171324423
74.7,-220.218171324423
74.91,-220.008171324423
75.12,-220.218171324423
75.33,-220.008171324423
75.54,-220.008171324423
75.75,-219.798171324423
75.96,-219.798171324423
76.17,-219.798171324423
76.38,-219.588171324423
76.59,-219.588171324423
76.8,-219.378171324423
77.01,-219.378171324423
77.22,-219.168171324423
77.43,-219.168171324423
77.64,-219.168171324423
77.85,-219.168171324423
78.06,-218.958171324423
78.27,-218.748171324423
78.48,-218.748171324423
78.69,-218.748171324423
78.9,-218.748171324423
79.11,-218.538171324423
79.32,-218.328171324423
79.53,-218.118171324423
79.74,-218.118171324423
79.95,-218.118171324423
80.16,-217.908171324423
80.37,-217.698171324423
80.58,-217.488171324423
80.79,-217.488171324423
81,-217.488171324423
81.21,-217.278171324423
81.42,-217.068171324423
81.63,-217.068171324423
81.84,-216.858171324423
82.05,-216.648171324423
82.26,-216.648171324423
82.47,-216.438171324423
82.68,-216.228171324423
82.89,-216.228171324423
83.1,-216.228171324423
83.31,-216.228171324423
