X,Y
0.15,-212.311891151135
0.15,-212.101891151135
0.36,-211.891891151135
0.57,-211.891891151135
0.78,-211.681891151135
0.99,-211.681891151135
1.2,-211.681891151135
1.2,-211.471891151135
1.41,-211.261891151135
1.62,-211.261891151135
1.83,-211.261891151135
2.04,-211.051891151135
2.25,-211.051891151135
2.25,-210.841891151135
2.46,-210.631891151135
2.67,-210.631891151135
2.88,-210.631891151135
3.09,-210.631891151135
3.09,-210.421891151135
3.3,-210.211891151135
3.51,-210.211891151135
3.72,-210.211891151135
3.93,-210.001891151135
4.14,-210.001891151135
4.35,-209.791891151135
4.56,-209.581891151135
4.77,-209.581891151135
4.98,-209.371891151135
5.19,-209.371891151135
5.4,-209.161891151135
5.61,-208.951891151135
5.82,-208.951891151135
6.03,-208.951891151135
6.03,-208.741891151135
6.24,-208.531891151135
6.45,-208.531891151135
6.66,-208.531891151135
6.87,-208.321891151135
7.08,-208.321891151135
7.08,-208.111891151135
7.29,-207.901891151135
7.5,-207.901891151135
7.71,-207.691891151135
7.92,-207.481891151135
8.13,-207.481891151135
8.13,-207.271891151135
8.13,-207.061891151135
8.34,-206.851891151135
8.55,-206.641891151135
8.76,-206.431891151135
8.97,-206.431891151135
8.97,-206.221891151135
8.97,-206.011891151135
9.18,-205.801891151135
9.39,-205.591891151135
9.6,-205.591891151135
9.81,-205.381891151135
9.81,-205.171891151135
9.81,-204.961891151135
10.02,-204.751891151135
10.23,-204.751891151135
10.44,-204.541891151135
10.65,-204.331891151135
10.86,-204.121891151135
11.07,-203.911891151135
11.07,-203.701891151135
11.28,-203.491891151135
11.49,-203.281891151135
11.7,-203.281891151135
11.7,-203.071891151135
11.91,-202.861891151135
11.91,-202.651891151135
12.12,-202.441891151135
12.33,-202.441891151135
12.54,-202.231891151135
12.75,-202.021891151135
12.75,-201.811891151135
12.96,-201.601891151135
13.17,-201.601891151135
13.17,-201.391891151135
13.38,-201.181891151135
13.59,-200.971891151135
13.59,-200.761891151135
13.8,-200.551891151135
14.01,-200.551891151135
14.01,-200.341891151135
14.22,-200.131891151135
14.43,-199.921891151135
14.64,-199.921891151135
14.64,-199.711891151135
14.85,-199.501891151135
14.85,-199.291891151135
15.06,-199.081891151135
15.27,-199.081891151135
15.48,-198.871891151135
15.48,-198.661891151135
15.69,-198.451891151135
15.9,-198.241891151135
16.11,-198.241891151135
16.11,-198.031891151135
16.32,-197.821891151135
16.53,-197.611891151135
16.74,-197.401891151135
16.95,-197.191891151135
16.95,-196.981891151135
17.16,-196.771891151135
17.37,-196.771891151135
17.37,-196.561891151135
17.58,-196.351891151135
17.79,-196.141891151135
18,-195.931891151135
18,-195.721891151135
18.21,-195.511891151135
18.21,-195.301891151135
18.42,-195.091891151135
18.63,-194.881891151135
18.63,-194.671891151135
18.84,-194.461891151135
19.05,-194.251891151135
19.26,-194.041891151135
19.26,-193.831891151135
19.47,-193.621891151135
19.68,-193.621891151135
19.68,-193.411891151135
19.89,-193.201891151135
20.1,-192.991891151135
20.1,-192.781891151135
20.31,-192.571891151135
20.31,-192.361891151135
20.52,-192.151891151135
20.73,-191.941891151135
20.94,-191.731891151135
21.15,-191.521891151135
20.94,-191.311891151135
21.15,-191.101891151135
21.36,-190.891891151135
21.57,-190.681891151135
21.78,-190.681891151135
21.99,-190.471891151135
21.99,-190.261891151135
21.99,-190.051891151135
22.2,-189.841891151135
22.41,-189.631891151135
22.62,-189.421891151135
22.83,-189.211891151135
22.83,-189.001891151135
22.83,-188.791891151135
23.04,-188.581891151135
23.25,-188.371891151135
23.46,-188.161891151135
23.46,-187.951891151135
23.67,-187.741891151135
23.88,-187.741891151135
23.88,-187.531891151135
24.09,-187.321891151135
24.3,-187.111891151135
24.51,-186.901891151135
24.51,-186.691891151135
24.72,-186.481891151135
24.72,-186.271891151135
24.93,-186.061891151135
25.14,-185.851891151135
25.14,-185.641891151135
25.35,-185.431891151135
25.56,-185.221891151135
25.56,-185.011891151135
25.77,-184.801891151135
25.77,-184.591891151135
25.98,-184.381891151135
26.19,-184.381891151135
26.4,-184.171891151135
26.61,-183.961891151135
26.61,-183.751891151135
26.82,-183.541891151135
27.03,-183.541891151135
27.24,-183.541891151135
27.45,-183.541891151135
27.66,-183.541891151135
27.87,-183.331891151135
28.08,-183.331891151135
28.29,-183.331891151135
28.5,-183.331891151135
28.71,-183.121891151135
28.92,-183.121891151135
29.13,-183.121891151135
29.34,-183.121891151135
29.55,-183.121891151135
29.76,-182.911891151135
29.97,-182.911891151135
30.18,-182.911891151135
30.39,-182.911891151135
30.6,-182.911891151135
30.81,-182.701891151135
31.02,-182.701891151135
31.23,-182.701891151135
31.44,-182.701891151135
31.65,-182.701891151135
31.65,-182.491891151135
31.86,-182.281891151135
32.07,-182.071891151135
31.86,-181.861891151135
32.07,-181.651891151135
32.28,-181.441891151135
32.49,-181.231891151135
32.49,-181.021891151135
32.7,-180.811891151135
32.7,-180.601891151135
32.91,-180.391891151135
33.12,-180.181891151135
33.33,-179.971891151135
33.54,-179.761891151135
33.33,-179.551891151135
33.33,-179.341891151135
33.54,-179.131891151135
33.75,-178.921891151135
33.96,-178.711891151135
33.96,-178.501891151135
34.17,-178.291891151135
34.38,-178.081891151135
34.38,-177.871891151135
34.59,-177.661891151135
34.8,-177.451891151135
34.8,-177.241891151135
34.8,-177.031891151135
35.01,-176.821891151135
35.22,-176.611891151135
35.22,-176.401891151135
35.22,-176.191891151135
35.43,-175.981891151135
35.64,-175.771891151135
35.85,-175.561891151135
36.06,-175.351891151135
36.06,-175.141891151135
36.06,-174.931891151135
36.27,-174.721891151135
36.27,-174.511891151135
36.48,-174.301891151135
36.48,-174.091891151135
36.69,-173.881891151135
36.9,-173.671891151135
36.9,-173.461891151135
37.11,-173.251891151135
37.32,-173.041891151135
37.32,-172.831891151135
37.53,-172.621891151135
37.74,-172.411891151135
37.74,-172.201891151135
37.95,-171.991891151135
37.95,-171.781891151135
37.95,-171.571891151135
38.16,-171.361891151135
38.37,-171.151891151135
38.58,-170.941891151135
38.58,-170.731891151135
38.79,-170.521891151135
38.79,-170.311891151135
39,-170.101891151135
39.21,-169.891891151135
39,-169.681891151135
39.21,-169.471891151135
39.42,-169.261891151135
39.63,-169.051891151135
39.63,-168.841891151135
39.84,-168.631891151135
39.84,-168.421891151135
40.05,-168.211891151135
40.26,-168.001891151135
40.47,-168.001891151135
40.68,-167.791891151135
40.89,-167.581891151135
41.1,-167.581891151135
41.31,-167.581891151135
41.52,-167.581891151135
41.73,-167.371891151135
41.94,-167.371891151135
42.15,-167.371891151135
42.36,-167.371891151135
42.57,-167.371891151135
42.78,-167.161891151135
42.99,-167.161891151135
43.2,-167.161891151135
43.41,-167.161891151135
43.62,-167.161891151135
43.83,-166.951891151135
44.04,-166.951891151135
44.25,-166.741891151135
44.46,-166.741891151135
44.67,-166.741891151135
44.88,-166.531891151135
45.09,-166.531891151135
45.3,-166.531891151135
45.51,-166.531891151135
45.72,-166.531891151135
45.93,-166.321891151135
46.14,-166.321891151135
46.35,-166.321891151135
46.56,-166.321891151135
46.77,-166.321891151135
46.98,-166.111891151135
47.19,-166.111891151135
47.4,-166.111891151135
47.61,-166.111891151135
47.61,-165.901891151135
47.61,-165.691891151135
47.61,-165.481891151135
47.82,-165.271891151135
47.82,-165.061891151135
48.03,-164.851891151135
48.24,-164.641891151135
48.03,-164.431891151135
48.24,-164.221891151135
48.45,-164.011891151135
48.45,-163.801891151135
48.45,-163.591891151135
48.45,-163.381891151135
48.66,-163.171891151135
48.66,-162.961891151135
48.87,-162.751891151135
49.08,-162.541891151135
48.87,-162.331891151135
49.08,-162.121891151135
49.29,-161.911891151135
49.29,-161.701891151135
49.29,-161.491891151135
49.29,-161.281891151135
49.5,-161.071891151135
49.5,-160.861891151135
49.71,-160.651891151135
49.92,-160.441891151135
49.71,-160.231891151135
49.92,-160.021891151135
50.13,-159.811891151135
50.13,-159.601891151135
50.13,-159.391891151135
50.34,-159.181891151135
50.34,-158.971891151135
50.34,-158.761891151135
50.55,-158.551891151135
50.76,-158.341891151135
50.76,-158.131891151135
50.76,-157.921891151135
50.97,-157.711891151135
51.18,-157.501891151135
51.39,-157.501891151135
51.6,-157.501891151135
51.81,-157.501891151135
52.02,-157.501891151135
52.23,-157.291891151135
52.44,-157.291891151135
52.65,-157.291891151135
52.86,-157.291891151135
53.07,-157.291891151135
53.28,-157.081891151135
53.49,-157.081891151135
53.7,-157.081891151135
53.91,-157.081891151135
54.12,-157.081891151135
54.33,-156.871891151135
54.54,-156.871891151135
54.75,-156.871891151135
54.96,-156.871891151135
55.17,-156.871891151135
55.38,-156.661891151135
55.59,-156.661891151135
55.8,-156.661891151135
56.01,-156.661891151135
56.22,-156.661891151135
56.43,-156.451891151135
56.64,-156.451891151135
56.85,-156.451891151135
57.06,-156.451891151135
57.27,-156.451891151135
57.48,-156.241891151135
57.69,-156.241891151135
57.9,-156.241891151135
58.11,-156.241891151135
58.32,-156.031891151135
58.53,-156.031891151135
58.74,-156.031891151135
58.95,-156.031891151135
59.16,-156.031891151135
59.37,-155.821891151135
59.58,-155.821891151135
59.79,-155.821891151135
60,-155.821891151135
60.21,-155.821891151135
60.42,-155.611891151135
60.63,-155.611891151135
60.84,-155.611891151135
60.84,-155.401891151135
61.05,-155.191891151135
61.05,-154.981891151135
61.05,-154.771891151135
61.05,-154.561891151135
61.05,-154.351891151135
61.26,-154.141891151135
61.26,-153.931891151135
61.26,-153.721891151135
61.26,-153.511891151135
61.47,-153.301891151135
61.47,-153.091891151135
61.68,-152.881891151135
61.47,-152.671891151135
61.68,-152.461891151135
61.68,-152.251891151135
61.89,-152.041891151135
61.89,-151.831891151135
61.89,-151.621891151135
61.89,-151.411891151135
62.1,-151.201891151135
62.1,-150.991891151135
62.31,-150.781891151135
62.1,-150.571891151135
62.31,-150.361891151135
62.31,-150.151891151135
62.52,-149.941891151135
62.52,-149.731891151135
62.52,-149.521891151135
62.52,-149.311891151135
62.73,-149.101891151135
62.73,-148.891891151135
62.73,-148.681891151135
62.73,-148.471891151135
62.73,-148.261891151135
62.94,-148.051891151135
63.15,-147.841891151135
63.36,-147.841891151135
63.57,-147.631891151135
63.78,-147.421891151135
63.99,-147.421891151135
64.2,-147.421891151135
64.41,-147.421891151135
64.62,-147.421891151135
64.83,-147.211891151135
65.04,-147.211891151135
65.25,-147.211891151135
65.46,-147.211891151135
65.67,-147.211891151135
65.88,-147.001891151135
66.09,-147.001891151135
66.3,-147.001891151135
66.51,-147.001891151135
66.72,-147.001891151135
66.93,-146.791891151135
67.14,-146.581891151135
67.35,-146.581891151135
67.56,-146.581891151135
67.77,-146.581891151135
67.98,-146.371891151135
68.19,-146.371891151135
68.4,-146.371891151135
68.61,-146.371891151135
68.82,-146.161891151135
69.03,-146.161891151135
69.24,-146.161891151135
69.45,-146.161891151135
69.66,-146.161891151135
69.87,-145.951891151135
70.08,-145.951891151135
70.29,-145.951891151135
70.5,-145.951891151135
70.71,-145.741891151135
70.71,-145.531891151135
70.71,-145.321891151135
70.92,-145.111891151135
71.13,-144.901891151135
71.34,-144.691891151135
71.55,-144.481891151135
71.55,-144.271891151135
71.55,-144.061891151135
71.76,-143.851891151135
71.97,-143.641891151135
72.18,-143.431891151135
72.18,-143.221891151135
72.39,-143.011891151135
72.6,-142.801891151135
72.6,-142.591891151135
72.81,-142.381891151135
72.81,-142.171891151135
73.02,-141.961891151135
73.23,-141.751891151135
73.44,-141.541891151135
73.65,-141.331891151135
73.86,-141.121891151135
73.86,-140.911891151135
74.07,-140.701891151135
74.28,-140.491891151135
74.28,-140.281891151135
74.49,-140.071891151135
74.49,-139.861891151135
74.7,-139.651891151135
74.91,-139.441891151135
75.12,-139.231891151135
75.33,-139.021891151135
75.33,-138.811891151135
75.33,-138.601891151135
75.54,-138.391891151135
75.75,-138.181891151135
75.96,-137.971891151135
76.17,-137.761891151135
76.17,-137.551891151135
76.17,-137.341891151135
76.38,-137.131891151135
76.59,-136.921891151135
76.8,-136.711891151135
77.01,-136.501891151135
77.01,-136.291891151135
77.22,-136.081891151135
77.43,-135.871891151135
77.64,-135.661891151135
77.85,-135.661891151135
78.06,-135.661891151135
78.06,-135.451891151135
78.27,-135.241891151135
78.48,-135.241891151135
78.69,-135.241891151135
78.9,-135.031891151135
79.11,-135.031891151135
79.32,-134.821891151135
79.53,-134.611891151135
79.74,-134.611891151135
79.95,-134.611891151135
80.16,-134.401891151135
80.37,-134.191891151135
80.58,-134.191891151135
80.79,-134.191891151135
81,-133.981891151135
81.21,-133.771891151135
81.42,-133.771891151135
81.63,-133.561891151135
81.84,-133.561891151135
82.05,-133.561891151135
82.05,-133.351891151135
82.26,-133.141891151135
82.47,-133.141891151135
82.68,-133.141891151135
82.89,-133.141891151135
82.89,-132.931891151135
83.1,-132.721891151135
83.31,-132.721891151135
83.52,-132.511891151135
83.73,-132.511891151135
83.94,-132.511891151135
84.15,-132.301891151135
84.36,-132.091891151135
84.57,-132.091891151135
84.78,-132.091891151135
84.99,-131.881891151135
85.2,-131.671891151135
85.41,-131.671891151135
85.41,-131.461891151135
85.41,-131.251891151135
85.62,-131.041891151135
85.62,-130.831891151135
85.83,-130.621891151135
85.62,-130.411891151135
85.83,-130.201891151135
85.83,-129.991891151135
85.83,-129.781891151135
86.04,-129.571891151135
85.83,-129.361891151135
86.04,-129.151891151135
86.04,-128.941891151135
86.25,-128.731891151135
86.25,-128.521891151135
86.25,-128.311891151135
86.25,-128.101891151135
86.46,-127.891891151135
86.46,-127.681891151135
86.67,-127.471891151135
86.46,-127.261891151135
86.46,-127.051891151135
86.46,-126.841891151135
86.25,-126.631891151135
86.25,-126.421891151135
86.04,-126.211891151135
85.83,-126.001891151135
85.83,-125.791891151135
85.83,-125.581891151135
85.62,-125.371891151135
85.41,-125.161891151135
85.2,-124.951891151135
85.2,-124.741891151135
85.2,-124.531891151135
84.99,-124.321891151135
84.78,-124.111891151135
84.78,-123.901891151135
84.78,-123.691891151135
84.99,-123.481891151135
85.2,-123.271891151135
85.2,-123.061891151135
85.2,-122.851891151135
85.41,-122.641891151135
85.62,-122.431891151135
85.83,-122.221891151135
85.83,-122.011891151135
86.04,-121.801891151135
86.04,-121.591891151135
86.25,-121.381891151135
86.46,-121.171891151135
86.46,-120.961891151135
86.67,-120.751891151135
86.88,-120.541891151135
86.88,-120.331891151135
87.09,-120.121891151135
87.3,-119.911891151135
87.3,-119.701891151135
87.51,-119.491891151135
87.72,-119.281891151135
87.93,-119.071891151135
87.93,-118.861891151135
87.93,-118.651891151135
88.14,-118.441891151135
88.35,-118.231891151135
88.56,-118.021891151135
88.77,-117.811891151135
88.77,-117.601891151135
88.77,-117.391891151135
88.98,-117.181891151135
89.19,-116.971891151135
89.4,-116.761891151135
89.61,-116.551891151135
89.61,-116.341891151135
89.61,-116.131891151135
89.82,-115.921891151135
90.03,-115.711891151135
90.24,-115.501891151135
90.24,-115.291891151135
90.45,-115.081891151135
90.45,-114.871891151135
90.66,-114.661891151135
90.87,-114.451891151135
90.87,-114.241891151135
91.08,-114.031891151135
91.29,-113.821891151135
91.5,-113.611891151135
91.5,-113.401891151135
91.71,-113.191891151135
91.71,-112.981891151135
91.92,-112.771891151135
92.13,-112.561891151135
92.34,-112.351891151135
92.34,-112.141891151135
92.34,-111.931891151135
92.55,-111.721891151135
92.76,-111.511891151135
92.97,-111.301891151135
93.18,-111.091891151135
93.18,-110.881891151135
93.18,-110.671891151135
93.39,-110.461891151135
93.6,-110.251891151135
93.81,-110.041891151135
94.02,-109.831891151135
94.02,-109.621891151135
94.23,-109.411891151135
94.23,-109.201891151135
94.44,-108.991891151135
94.65,-108.781891151135
94.65,-108.571891151135
94.86,-108.361891151135
95.07,-108.151891151135
95.07,-107.941891151135
95.28,-107.731891151135
95.28,-107.521891151135
95.49,-107.311891151135
95.7,-107.101891151135
95.91,-107.101891151135
96.12,-107.101891151135
96.33,-106.891891151135
96.54,-106.891891151135
96.75,-106.681891151135
96.96,-106.681891151135
97.17,-106.471891151135
97.38,-106.471891151135
97.59,-106.471891151135
97.8,-106.471891151135
98.01,-106.261891151135
98.22,-106.051891151135
98.43,-106.051891151135
98.64,-106.051891151135
98.85,-105.841891151135
99.06,-105.841891151135
99.27,-105.631891151135
99.48,-105.631891151135
99.69,-105.631891151135
99.9,-105.421891151135
100.11,-105.421891151135
100.32,-105.211891151135
100.53,-105.211891151135
100.74,-105.211891151135
100.95,-105.211891151135
100.95,-105.001891151135
101.16,-104.791891151135
101.37,-104.791891151135
101.58,-104.791891151135
101.79,-104.791891151135
101.79,-104.581891151135
102,-104.371891151135
102,-104.161891151135
102.21,-103.951891151135
102.21,-103.741891151135
102.21,-103.531891151135
102.42,-103.321891151135
102.63,-103.111891151135
102.84,-102.901891151135
102.84,-102.691891151135
102.84,-102.481891151135
102.84,-102.271891151135
103.05,-102.061891151135
103.26,-101.851891151135
103.26,-101.641891151135
103.26,-101.431891151135
103.47,-101.221891151135
103.68,-101.011891151135
103.68,-100.801891151135
103.68,-100.591891151135
103.68,-100.381891151135
103.89,-100.171891151135
104.1,-99.9618911511356
104.1,-99.7518911511356
104.31,-99.5418911511356
104.31,-99.3318911511357
104.52,-99.1218911511356
104.52,-98.9118911511356
104.52,-98.7018911511356
104.73,-98.4918911511356
104.94,-98.2818911511356
104.94,-98.0718911511356
104.94,-97.8618911511356
105.15,-97.6518911511356
105.36,-97.4418911511356
105.57,-97.2318911511356
105.36,-97.0218911511356
105.36,-96.8118911511356
105.57,-96.6018911511356
105.78,-96.3918911511355
105.99,-96.1818911511356
105.78,-95.9718911511357
105.99,-95.7618911511356
106.2,-95.5518911511356
106.41,-95.3418911511356
106.41,-95.1318911511356
106.2,-94.9218911511356
106.41,-94.7118911511356
106.62,-94.5018911511356
106.83,-94.2918911511356
106.83,-94.0818911511357
106.83,-93.8718911511356
107.04,-93.6618911511356
107.25,-93.4518911511356
107.25,-93.2418911511356
107.25,-93.0318911511356
107.46,-92.8218911511356
107.46,-92.6118911511356
107.67,-92.4018911511356
107.67,-92.1918911511356
107.88,-91.9818911511356
108.09,-91.7718911511356
108.09,-91.5618911511356
108.09,-91.3518911511356
108.09,-91.1418911511355
108.3,-90.9318911511356
108.51,-90.7218911511357
108.51,-90.5118911511356
108.51,-90.3018911511356
108.72,-90.0918911511356
108.93,-89.8818911511356
108.93,-89.6718911511356
108.72,-89.4618911511356
108.72,-89.2518911511356
108.72,-89.0418911511356
108.72,-88.8318911511357
108.51,-88.6218911511356
108.3,-88.4118911511356
108.3,-88.2018911511356
108.3,-87.9918911511356
108.3,-87.7818911511356
108.09,-87.5718911511356
107.88,-87.3618911511356
107.88,-87.1518911511356
107.88,-86.9418911511356
107.88,-86.7318911511356
107.67,-86.5218911511356
107.46,-86.3118911511356
107.46,-86.1018911511356
107.46,-85.8918911511355
107.25,-85.6818911511356
107.04,-85.4718911511357
107.04,-85.2618911511356
107.04,-85.0518911511356
107.04,-84.8418911511356
107.04,-84.6318911511356
106.83,-84.6318911511356
106.62,-84.4218911511356
106.62,-84.2118911511356
106.62,-84.0018911511356
106.62,-83.7918911511356
106.62,-83.5818911511357
106.41,-83.5818911511357
106.2,-83.3718911511356
106.2,-83.1618911511356
106.2,-82.9518911511356
106.2,-82.7418911511356
106.2,-82.5318911511356
105.99,-82.5318911511356
105.78,-82.3218911511356
105.78,-82.1118911511357
105.78,-81.9018911511356
105.78,-81.6918911511356
105.57,-81.6918911511356
105.36,-81.4818911511356
105.36,-81.2718911511356
105.36,-81.0618911511356
105.36,-80.8518911511356
105.36,-80.6418911511355
105.15,-80.6418911511355
104.94,-80.4318911511356
104.94,-80.2218911511357
104.94,-80.0118911511356
104.94,-79.8018911511356
104.94,-79.5918911511356
104.73,-79.5918911511356
104.52,-79.3818911511356
104.52,-79.1718911511356
104.52,-78.9618911511356
104.52,-78.7518911511356
104.52,-78.5418911511356
104.31,-78.5418911511356
104.1,-78.3318911511357
104.1,-78.1218911511356
104.1,-77.9118911511356
104.1,-77.7018911511356
104.1,-77.4918911511356
103.89,-77.2818911511356
104.1,-77.0718911511356
104.31,-76.8618911511357
104.52,-76.6518911511356
104.52,-76.4418911511356
104.52,-76.2318911511356
104.73,-76.0218911511356
104.94,-75.8118911511356
105.15,-75.6018911511356
105.36,-75.3918911511355
105.36,-75.1818911511356
105.36,-74.9718911511357
105.57,-74.7618911511356
105.78,-74.5518911511356
105.99,-74.3418911511356
106.2,-74.1318911511356
106.2,-73.9218911511356
106.2,-73.7118911511356
106.41,-73.5018911511356
106.62,-73.2918911511356
106.83,-73.0818911511357
106.83,-72.8718911511356
107.04,-72.6618911511356
107.04,-72.4518911511356
107.25,-72.2418911511356
107.46,-72.0318911511356
107.46,-71.8218911511356
107.67,-71.6118911511357
107.88,-71.4018911511356
108.09,-71.1918911511356
108.09,-70.9818911511356
108.3,-70.7718911511356
108.3,-70.5618911511356
108.51,-70.3518911511356
108.72,-70.1418911511355
108.93,-69.9318911511356
108.93,-69.7218911511357
108.93,-69.5118911511356
109.14,-69.3018911511356
109.35,-69.0918911511356
109.56,-68.8818911511356
109.77,-68.6718911511356
109.77,-68.4618911511356
109.77,-68.2518911511357
109.98,-68.0418911511356
110.19,-67.8318911511357
110.4,-67.6218911511356
110.61,-67.4118911511356
110.82,-67.4118911511356
110.82,-67.2018911511356
111.03,-66.9918911511356
111.24,-66.9918911511356
111.45,-66.9918911511356
111.66,-66.9918911511356
111.87,-66.9918911511356
112.08,-66.7818911511356
112.29,-66.7818911511356
112.5,-66.5718911511356
112.71,-66.5718911511356
112.92,-66.3618911511357
113.13,-66.3618911511357
113.34,-66.3618911511357
113.55,-66.3618911511357
113.76,-66.3618911511357
113.76,-66.1518911511356
113.97,-65.9418911511356
114.18,-65.9418911511356
114.39,-65.9418911511356
114.6,-65.9418911511356
114.81,-65.9418911511356
115.02,-65.7318911511356
115.23,-65.5218911511356
115.44,-65.5218911511356
115.65,-65.5218911511356
115.86,-65.5218911511356
116.07,-65.3118911511356
