x,y
450.75,348.73
451.12,348.43
451.5,348.13
451.87,347.85
452.24,347.58
452.61,347.33
452.99,347.09
453.36,346.85
453.73,346.63
454.11,346.41
454.48,346.2
454.85,345.99
455.22,345.79
455.6,345.6
455.97,345.41
456.34,345.22
456.72,345.04
457.09,344.87
457.46,344.69
457.83,344.52
458.21,344.36
458.58,344.19
458.95,344.03
459.33,343.87
459.7,343.71
460.07,343.56
460.44,343.4
460.82,343.25
461.19,343.1
461.56,342.96
461.94,342.81
462.31,342.66
462.68,342.52
463.05,342.38
463.43,342.23
463.8,342.09
464.17,341.95
464.55,341.81
464.92,341.68
465.29,341.54
465.66,341.4
466.04,341.27
466.41,341.13
466.78,341
467.16,340.87
467.53,340.73
467.9,340.6
468.27,340.47
468.65,340.34
469.02,340.21
469.39,340.08
469.77,339.95
470.14,339.82
470.51,339.69
470.88,339.56
471.26,339.44
471.63,339.31
472,339.18
472.38,339.06
472.75,338.93
473.12,338.81
473.49,338.68
473.87,338.56
474.24,338.44
474.61,338.32
474.99,338.19
475.36,338.07
475.73,337.95
476.1,337.83
476.48,337.71
476.85,337.6
477.22,337.48
477.6,337.36
477.97,337.25
478.34,337.13
478.71,337.01
479.09,336.9
479.46,336.79
479.83,336.67
480.21,336.56
480.58,336.45
480.95,336.34
481.32,336.23
481.7,336.12
482.07,336.01
482.44,335.9
482.82,335.79
483.19,335.68
483.56,335.58
483.93,335.47
484.31,335.37
484.68,335.26
485.05,335.16
485.43,335.06
485.8,334.95
486.17,334.85
486.54,334.75
486.92,334.65
487.29,334.55
487.66,334.45
488.04,334.36
488.41,334.26
488.78,334.16
489.15,334.07
489.53,333.97
489.9,333.87
490.27,333.78
490.65,333.68
491.02,333.59
491.39,333.5
491.76,333.41
492.14,333.31
492.51,333.22
492.88,333.13
493.26,333.04
493.63,332.96
494,332.87
494.37,332.78
494.75,332.7
495.12,332.61
495.49,332.52
495.87,332.44
496.24,332.35
496.61,332.27
496.98,332.18
497.36,332.1
497.73,332.01
498.1,331.93
498.48,331.85
498.85,331.76
499.22,331.68
499.59,331.6
499.97,331.52
500.34,331.43
500.71,331.35
501.09,331.27
501.46,331.19
501.83,331.11
502.2,331.03
502.58,330.95
502.95,330.87
503.32,330.79
503.7,330.71
504.07,330.63
504.44,330.55
504.81,330.46
505.19,330.38
505.56,330.3
505.93,330.23
506.31,330.15
506.68,330.07
507.05,329.99
507.42,329.91
507.8,329.83
508.17,329.75
508.54,329.67
508.92,329.59
509.29,329.51
509.66,329.43
510.03,329.35
510.41,329.28
510.78,329.2
511.15,329.12
511.53,329.04
511.9,328.97
512.27,328.89
512.64,328.81
513.02,328.73
513.39,328.65
513.76,328.57
514.14,328.49
514.51,328.42
514.88,328.34
515.25,328.26
515.63,328.19
516,328.11
516.37,328.04
516.75,327.96
517.12,327.89
517.49,327.81
517.86,327.74
518.24,327.67
518.61,327.59
518.98,327.52
519.36,327.45
519.73,327.37
520.1,327.3
520.47,327.23
520.85,327.16
521.22,327.09
521.59,327.02
521.97,326.95
522.34,326.88
522.71,326.81
523.08,326.75
523.46,326.68
523.83,326.61
524.2,326.54
524.58,326.47
524.95,326.4
525.32,326.33
525.69,326.27
526.07,326.2
526.44,326.13
526.81,326.06
527.19,326
527.56,325.93
527.93,325.87
528.3,325.8
528.68,325.74
529.05,325.67
529.42,325.61
529.8,325.55
530.17,325.49
530.54,325.42
530.91,325.36
531.29,325.3
531.66,325.24
532.03,325.18
532.41,325.12
532.78,325.06
533.15,325
533.52,324.94
533.9,324.88
534.27,324.82
534.64,324.76
535.02,324.7
535.39,324.64
535.76,324.58
536.13,324.53
536.51,324.47
536.88,324.41
537.25,324.35
537.63,324.29
538,324.24
538.37,324.18
538.74,324.13
539.12,324.07
539.49,324.02
539.86,323.96
540.24,323.91
540.61,323.85
540.98,323.8
541.35,323.75
541.73,323.7
542.1,323.65
542.47,323.59
542.85,323.54
543.22,323.49
543.59,323.44
543.96,323.39
544.34,323.34
544.71,323.28
545.08,323.24
545.46,323.19
545.83,323.14
546.2,323.09
546.57,323.05
546.95,323
547.32,322.96
547.69,322.91
548.07,322.87
548.44,322.83
548.81,322.78
549.18,322.74
549.56,322.7
549.93,322.66
550.3,322.62
550.68,322.58
551.05,322.54
551.42,322.5
551.79,322.46
552.17,322.42
552.54,322.39
552.91,322.36
553.29,322.33
553.66,322.29
554.03,322.26
554.4,322.23
