x,y
432.99,348.51
433.95,347.84
434.91,347.24
435.88,346.69
436.85,346.19
437.82,345.74
438.79,345.33
439.76,344.95
440.74,344.6
441.71,344.28
442.69,343.98
443.67,343.7
444.65,343.43
445.63,343.18
446.61,342.94
447.59,342.71
448.57,342.5
449.55,342.28
450.53,342.08
451.51,341.88
452.5,341.68
453.48,341.49
454.46,341.31
455.44,341.13
456.43,340.95
457.41,340.77
458.39,340.6
459.38,340.44
460.36,340.27
461.34,340.11
462.33,339.96
463.31,339.8
464.3,339.65
465.28,339.51
466.26,339.37
467.25,339.23
468.23,339.1
469.22,338.98
470.21,338.86
471.19,338.74
472.18,338.62
473.16,338.52
474.15,338.41
475.14,338.31
476.12,338.21
477.11,338.12
478.1,338.03
479.08,337.95
480.07,337.87
481.06,337.79
482.05,337.71
483.03,337.64
484.02,337.56
485.01,337.49
486,337.42
486.98,337.35
487.97,337.27
488.96,337.21
489.95,337.14
490.94,337.07
491.92,337.01
492.91,336.92
493.9,336.83
494.89,336.74
495.87,336.66
496.86,336.57
497.85,336.47
498.83,336.38
499.82,336.3
500.81,336.22
501.8,336.13
502.78,336.04
503.77,335.95
504.76,335.87
505.74,335.8
506.73,335.74
507.72,335.66
508.71,335.58
509.7,335.5
510.68,335.42
511.67,335.36
512.66,335.3
513.65,335.23
514.64,335.17
515.62,335.11
516.61,335.03
517.6,334.95
518.59,334.87
519.57,334.78
520.56,334.7
521.55,334.61
522.54,334.53
523.52,334.45
524.51,334.37
525.5,334.29
526.49,334.22
527.47,334.15
528.46,334.09
529.45,334.04
530.44,333.99
531.43,333.93
532.42,333.87
533.41,333.81
534.39,333.75
535.38,333.68
536.37,333.61
537.36,333.55
538.35,333.48
539.33,333.4
540.32,333.32
541.31,333.24
542.3,333.16
543.28,333.07
544.27,332.98
545.26,332.88
546.24,332.78
547.23,332.68
548.22,332.58
549.2,332.47
550.19,332.36
551.17,332.24
552.16,332.13
553.15,332.02
554.13,331.9
555.12,331.79
556.1,331.69
557.09,331.59
558.08,331.5
559.06,331.42
560.05,331.32
561.04,331.23
562.02,331.13
563.01,331.04
564,330.94
564.98,330.85
565.97,330.77
566.96,330.69
567.95,330.62
568.94,330.55
569.92,330.49
570.91,330.43
571.9,330.37
572.89,330.31
573.88,330.25
574.87,330.19
575.85,330.13
576.84,330.07
577.83,330.01
578.82,329.95
579.81,329.88
580.8,329.82
581.78,329.76
582.77,329.69
583.76,329.62
584.75,329.54
585.74,329.47
586.72,329.41
587.71,329.36
588.7,329.31
589.69,329.27
590.68,329.24
591.67,329.21
592.66,329.2
593.65,329.17
594.64,329.14
595.63,329.12
596.62,329.09
597.61,329.06
598.6,329.03
599.59,329
600.58,328.96
601.57,328.93
602.56,328.9
603.55,328.86
604.54,328.81
605.53,328.77
606.52,328.74
607.51,328.71
608.5,328.69
609.49,328.67
610.48,328.66
611.47,328.66
612.46,328.66
613.45,328.67
614.44,328.67
615.43,328.67
616.42,328.67
617.42,328.68
618.41,328.69
619.4,328.71
620.39,328.72
621.38,328.72
622.37,328.72
623.37,328.73
624.36,328.75
625.35,328.76
626.34,328.78
627.33,328.77
628.32,328.78
629.31,328.78
630.31,328.79
631.3,328.8
632.29,328.81
633.28,328.79
634.27,328.79
635.26,328.79
636.25,328.79
637.24,328.79
638.24,328.78
639.23,328.76
640.22,328.75
641.21,328.74
642.2,328.74
643.19,328.74
644.18,328.72
645.17,328.71
646.16,328.71
647.15,328.69
648.14,328.69
649.13,328.69
650.13,328.7
651.12,328.72
652.11,328.73
653.1,328.76
654.09,328.8
655.09,328.83
656.08,328.88
657.07,328.92
658.07,328.98
659.06,329.03
660.06,329.09
661.05,329.15
662.04,329.22
663.04,329.28
664.03,329.35
665.03,329.41
666.02,329.48
667.01,329.53
668.01,329.6
669,329.67
670,329.74
670.99,329.81
671.99,329.91
672.98,330.01
673.98,330.11
674.98,330.21
675.97,330.32
676.97,330.43
677.96,330.55
678.96,330.67
679.96,330.79
680.95,330.91
681.95,331.04
682.95,331.18
683.95,331.31
684.94,331.45
685.94,331.6
686.94,331.75
687.94,331.9
688.94,332.06
689.94,332.23
690.94,332.4
691.93,332.58
692.93,332.76
693.93,332.96
694.94,333.16
695.94,333.37
696.94,333.59
697.94,333.82
698.94,334.06
699.95,334.32
700.95,334.58
701.95,334.87
702.96,335.16
703.96,335.48
704.97,335.8
705.98,336.15
706.99,336.52
707.99,336.9
709,337.31
710.02,337.74
711.03,338.18
712.04,338.66
713.06,339.15
714.07,339.67
715.09,340.22
716.1,340.79
717.12,341.38
718.14,342
719.16,342.65
720.19,343.32
721.21,344.01
722.24,344.73
723.26,345.48
724.29,346.24
725.32,347.03
726.34,347.83
727.37,348.65
