x,y
416.78,348.51
417.61,347.69
418.47,346.96
419.35,346.3
420.27,345.69
421.22,345.1
422.19,344.53
423.2,343.96
424.23,343.39
425.28,342.83
426.36,342.26
427.46,341.69
428.58,341.13
429.72,340.56
430.87,340.01
432.03,339.46
433.2,338.92
434.39,338.4
435.58,337.89
436.79,337.39
438,336.91
439.22,336.44
440.45,335.99
441.68,335.55
442.92,335.12
444.16,334.71
445.41,334.31
446.67,333.93
447.93,333.55
449.19,333.18
450.46,332.83
451.72,332.48
452.99,332.14
454.26,331.81
455.53,331.49
456.8,331.18
458.07,330.88
459.33,330.58
460.59,330.3
461.85,330.03
463.1,329.78
464.34,329.53
465.58,329.3
466.8,329.08
468.02,328.89
469.23,328.7
470.43,328.53
471.62,328.38
472.8,328.25
473.97,328.14
475.13,328.04
476.29,327.96
477.43,327.89
478.57,327.85
479.69,327.8
480.82,327.78
481.93,327.75
483.05,327.75
484.15,327.75
485.26,327.74
486.37,327.75
487.48,327.74
488.58,327.74
489.71,327.74
490.82,327.73
491.93,327.72
493.07,327.69
494.22,327.66
495.37,327.6
496.51,327.54
497.67,327.46
498.81,327.37
499.97,327.26
501.13,327.13
502.31,327.01
503.5,326.87
504.69,326.73
505.88,326.57
507.06,326.43
508.25,326.27
509.44,326.12
510.64,325.95
511.84,325.77
513.04,325.59
514.24,325.43
515.43,325.27
516.62,325.12
517.81,324.97
518.99,324.83
520.17,324.7
521.36,324.55
522.53,324.43
523.7,324.31
524.86,324.22
526.02,324.11
527.19,324.02
528.34,323.93
529.49,323.85
530.66,323.75
531.8,323.68
532.96,323.59
534.12,323.5
535.27,323.43
536.42,323.34
537.58,323.25
538.73,323.17
539.88,323.09
541.03,323.02
542.17,322.96
543.31,322.91
544.45,322.86
545.59,322.8
546.72,322.76
547.87,322.7
549.01,322.63
550.14,322.59
551.29,322.52
552.43,322.46
553.57,322.41
554.71,322.36
555.85,322.3
556.98,322.25
558.12,322.21
559.25,322.16
560.38,322.13
561.51,322.1
562.63,322.07
563.76,322.05
564.88,322.03
565.99,322.02
567.11,322.01
568.22,322.01
569.34,322
570.45,322
571.56,321.99
572.67,322
573.8,321.97
574.91,321.97
576.03,321.95
577.16,321.92
578.28,321.89
579.41,321.87
580.54,321.82
581.67,321.8
582.79,321.77
583.93,321.72
585.06,321.69
586.18,321.66
587.32,321.61
588.44,321.6
589.55,321.59
590.68,321.56
591.79,321.56
592.9,321.56
594.01,321.56
595.12,321.58
596.2,321.63
597.3,321.67
598.38,321.72
599.45,321.79
600.52,321.87
601.59,321.96
602.64,322.07
603.7,322.19
604.75,322.31
605.79,322.44
606.82,322.6
607.86,322.74
608.88,322.92
609.9,323.1
610.93,323.26
611.95,323.44
612.98,323.61
613.99,323.79
615.01,323.97
616.04,324.15
617.06,324.32
618.09,324.48
619.11,324.66
620.14,324.81
621.18,324.96
622.22,325.09
623.26,325.23
624.32,325.33
625.39,325.42
626.47,325.49
627.55,325.55
628.64,325.59
629.73,325.62
630.85,325.61
631.96,325.6
633.09,325.59
634.21,325.56
635.34,325.52
636.49,325.45
637.62,325.4
638.78,325.32
639.93,325.23
641.1,325.12
642.26,325.03
643.44,324.9
644.62,324.76
645.81,324.6
647,324.46
648.2,324.29
649.39,324.12
650.59,323.94
651.8,323.76
653,323.59
654.21,323.39
655.43,323.19
656.63,323
657.84,322.82
659.04,322.63
660.25,322.44
661.46,322.26
662.64,322.12
663.83,321.97
665.01,321.83
666.18,321.72
667.33,321.64
668.48,321.56
669.61,321.52
670.74,321.5
671.85,321.5
672.94,321.55
674.02,321.61
675.08,321.7
676.13,321.83
677.17,321.97
678.19,322.13
679.21,322.32
680.22,322.52
681.22,322.73
682.21,322.97
683.21,323.2
684.19,323.44
685.18,323.69
686.16,323.95
687.12,324.23
688.1,324.5
689.07,324.78
690.04,325.06
691.01,325.34
691.99,325.58
692.97,325.85
693.96,326.09
694.95,326.33
695.93,326.58
696.93,326.81
697.92,327.05
698.91,327.28
699.9,327.51
700.9,327.74
701.9,327.96
702.89,328.18
703.89,328.41
704.89,328.63
705.89,328.85
706.88,329.08
707.88,329.3
708.88,329.53
709.87,329.76
710.86,329.99
711.85,330.23
712.84,330.47
713.82,330.72
714.81,330.98
715.78,331.24
716.76,331.51
717.72,331.79
718.69,332.08
719.65,332.38
720.6,332.69
721.55,333.02
722.49,333.35
723.42,333.7
724.34,334.07
725.26,334.46
726.16,334.86
727.06,335.28
727.94,335.72
728.82,336.19
729.68,336.68
730.53,337.19
731.37,337.73
732.19,338.29
733.01,338.88
733.8,339.49
734.59,340.13
735.36,340.79
736.13,341.47
736.88,342.18
737.62,342.9
738.36,343.63
739.1,344.36
739.83,345.1
740.57,345.83
741.32,346.54
742.09,347.22
742.87,347.86
743.68,348.45
744.53,348.96
