x,y
289.87,269.21
290.27,265.85
290.67,264.65
291.06,263.47
291.46,261.83
291.86,260.63
292.25,259.58
292.65,258.57
293.05,257.58
293.44,256.58
293.84,255.55
294.24,254.42
294.63,253.06
295.03,251.67
295.43,250.65
295.82,249.79
296.22,248.95
296.62,248.13
297.01,247.31
297.41,246.49
297.81,245.7
298.21,244.9
298.6,244.13
299,243.34
299.4,242.57
299.79,241.8
300.19,241.02
300.59,240.25
300.98,239.48
301.38,238.71
301.78,237.95
302.17,237.19
302.57,236.43
302.97,235.67
303.36,234.91
303.76,234.16
304.16,233.43
304.55,232.71
304.95,232.01
305.35,231.31
305.74,230.63
306.14,229.95
306.54,229.29
306.93,228.64
307.33,227.98
307.73,227.34
308.12,226.71
308.52,226.08
308.92,225.46
309.31,224.84
309.71,224.23
310.11,223.63
310.5,223.03
310.9,222.42
311.3,221.83
311.69,221.24
312.09,220.65
312.49,220.06
312.88,219.48
313.28,218.9
313.68,218.32
314.08,217.74
314.47,217.16
314.87,216.58
315.27,216
315.66,215.41
316.06,214.82
316.46,214.22
316.85,213.62
317.25,213
317.65,212.36
318.04,211.71
318.44,211.03
318.84,210.33
319.23,209.6
319.63,208.83
320.03,208.08
320.42,207.42
320.82,206.79
321.22,206.17
321.61,205.58
322.01,205
322.41,204.43
322.8,203.87
323.2,203.32
323.6,202.76
323.99,202.21
324.39,201.66
324.79,201.12
325.18,200.57
325.58,200.04
325.98,199.5
326.37,198.96
326.77,198.43
327.17,197.91
327.56,197.38
327.96,196.85
328.36,196.33
328.76,195.82
329.15,195.3
329.55,194.79
329.95,194.28
330.34,193.78
330.74,193.27
331.14,192.78
331.53,192.27
331.93,191.76
332.33,191.27
332.72,190.78
333.12,190.29
333.52,189.8
333.91,189.3
334.31,188.8
334.71,188.29
335.1,187.79
335.5,187.27
335.9,186.74
336.29,186.18
336.69,185.55
337.09,184.8
337.48,184.02
337.88,183.37
338.28,182.76
338.67,182.16
339.07,181.57
339.47,181.02
339.86,180.51
340.26,180.01
340.66,179.53
341.05,179.06
341.45,178.58
341.85,178.11
342.24,177.63
342.64,177.16
343.04,176.71
343.44,176.26
343.83,175.81
344.23,175.37
344.63,174.93
345.02,174.5
345.42,174.06
345.82,173.64
346.21,173.21
346.61,172.78
347.01,172.36
347.4,171.94
347.8,171.51
348.2,171.1
348.59,170.68
348.99,170.26
349.39,169.84
349.78,169.42
350.18,169.01
350.58,168.59
350.97,168.18
351.37,167.76
351.77,167.35
352.16,166.93
352.56,166.52
352.96,166.1
353.35,165.69
353.75,165.28
354.15,164.88
354.54,164.49
354.94,164.1
355.34,163.72
355.73,163.35
356.13,162.98
356.53,162.62
356.92,162.26
357.32,161.9
357.72,161.55
358.11,161.2
358.51,160.85
358.91,160.52
359.31,160.18
359.7,159.85
360.1,159.52
360.5,159.19
360.89,158.86
361.29,158.54
361.69,158.22
362.08,157.9
362.48,157.59
362.88,157.28
363.27,156.97
363.67,156.67
364.07,156.36
364.46,156.06
364.86,155.76
365.26,155.47
365.65,155.18
366.05,154.89
366.45,154.61
366.84,154.32
367.24,154.04
367.64,153.76
368.03,153.48
368.43,153.21
368.83,152.94
369.22,152.67
369.62,152.4
370.02,152.13
370.41,151.87
370.81,151.61
371.21,151.35
371.6,151.1
372,150.84
372.4,150.59
372.79,150.34
373.19,150.09
373.59,149.85
373.99,149.6
374.38,149.36
374.78,149.11
375.18,148.87
375.57,148.64
375.97,148.4
376.37,148.17
376.76,147.94
377.16,147.7
377.56,147.47
377.95,147.24
378.35,147.02
378.75,146.79
379.14,146.57
379.54,146.34
379.94,146.12
380.33,145.9
380.73,145.67
381.13,145.46
381.52,145.24
381.92,145.02
382.32,144.8
382.71,144.58
383.11,144.37
383.51,144.15
383.9,143.94
384.3,143.74
384.7,143.53
385.09,143.32
385.49,143.12
385.89,142.92
386.28,142.72
386.68,142.51
387.08,142.32
387.47,142.12
387.87,141.92
388.27,141.73
388.67,141.54
389.06,141.35
389.46,141.16
389.86,140.97
390.25,140.78
390.65,140.59
391.05,140.41
391.44,140.22
391.84,140.03
392.24,139.85
392.63,139.67
393.03,139.48
393.43,139.3
393.82,139.12
394.22,138.94
394.62,138.75
395.01,138.57
395.41,138.39
395.81,138.21
396.2,138.03
396.6,137.86
397,137.68
397.39,137.5
397.79,137.32
398.19,137.15
398.58,136.97
398.98,136.8
399.38,136.62
399.77,136.45
400.17,136.28
400.57,136.11
400.96,135.94
401.36,135.77
401.76,135.61
402.15,135.44
402.55,135.27
402.95,135.11
403.34,134.94
403.74,134.77
404.14,134.6
404.54,134.44
404.93,134.27
405.33,134.1
405.73,133.94
406.12,133.77
406.52,133.61
406.92,133.44
407.31,133.27
407.71,133.11
408.11,132.94
408.5,132.78
408.9,132.61
409.3,132.45
409.69,132.28
410.09,132.12
410.49,131.95
410.88,131.79
411.28,131.62
411.68,131.46
412.07,131.29
412.47,131.12
412.87,130.95
413.26,130.79
413.66,130.62
414.06,130.45
414.45,130.28
414.85,130.11
415.25,129.95
415.64,129.78
416.04,129.61
416.44,129.44
416.83,129.27
417.23,129.1
417.63,128.93
418.02,128.76
418.42,128.58
418.82,128.41
419.22,128.24
419.61,128.07
420.01,127.9
420.41,127.73
420.8,127.56
421.2,127.39
421.6,127.21
421.99,127.04
422.39,126.87
422.79,126.7
423.18,126.53
423.58,126.36
423.98,126.19
424.37,126.02
424.77,125.85
425.17,125.69
425.56,125.52
425.96,125.35
426.36,125.19
426.75,125.03
427.15,124.86
427.55,124.7
427.94,124.54
428.34,124.37
428.74,124.21
429.13,124.05
429.53,123.9
429.93,123.74
430.32,123.58
430.72,123.43
431.12,123.27
431.51,123.12
431.91,122.96
432.31,122.81
432.7,122.66
433.1,122.51
433.5,122.36
433.89,122.21
434.29,122.06
434.69,121.91
435.09,121.76
435.48,121.61
435.88,121.46
436.28,121.32
436.67,121.17
437.07,121.03
437.47,120.89
437.86,120.75
438.26,120.6
438.66,120.46
439.05,120.32
439.45,120.18
439.85,120.04
440.24,119.91
440.64,119.77
441.04,119.63
441.43,119.49
441.83,119.35
442.23,119.22
442.62,119.08
443.02,118.95
443.42,118.82
443.81,118.69
444.21,118.56
444.61,118.43
445,118.3
445.4,118.18
445.8,118.05
446.19,117.93
446.59,117.8
446.99,117.68
447.38,117.56
447.78,117.44
448.18,117.33
448.57,117.21
448.97,117.1
449.37,116.98
449.77,116.87
450.16,116.75
450.56,116.64
450.96,116.54
451.35,116.43
451.75,116.32
452.15,116.21
452.54,116.11
452.94,116
453.34,115.9
453.73,115.79
454.13,115.69
454.53,115.59
454.92,115.48
455.32,115.38
455.72,115.28
456.11,115.18
456.51,115.08
456.91,114.98
457.3,114.88
457.7,114.78
458.1,114.68
458.49,114.58
458.89,114.49
459.29,114.39
459.68,114.3
460.08,114.2
460.48,114.1
460.87,114
461.27,113.91
461.67,113.81
462.06,113.72
462.46,113.63
462.86,113.54
463.25,113.45
463.65,113.36
464.05,113.27
464.45,113.18
464.84,113.1
465.24,113.01
465.64,112.93
466.03,112.85
466.43,112.77
466.83,112.69
467.22,112.61
467.62,112.53
468.02,112.46
468.41,112.38
468.81,112.31
469.21,112.23
469.6,112.16
470,112.09
470.4,112.02
470.79,111.95
471.19,111.88
471.59,111.82
471.98,111.76
472.38,111.69
472.78,111.63
473.17,111.57
473.57,111.51
473.97,111.46
474.36,111.4
474.76,111.34
475.16,111.29
475.55,111.24
475.95,111.19
476.35,111.14
476.74,111.1
477.14,111.05
477.54,111
477.93,110.96
478.33,110.92
478.73,110.88
479.12,110.85
479.52,110.81
479.92,110.78
480.32,110.74
480.71,110.71
481.11,110.68
481.51,110.65
481.9,110.62
482.3,110.6
482.7,110.57
483.09,110.55
483.49,110.53
483.89,110.51
484.28,110.48
484.68,110.47
485.08,110.45
485.47,110.43
485.87,110.41
486.27,110.4
486.66,110.38
487.06,110.37
487.46,110.35
487.85,110.34
488.25,110.33
488.65,110.33
489.04,110.32
489.44,110.31
489.84,110.3
490.23,110.3
490.63,110.3
491.03,110.29
491.42,110.29
491.82,110.29
492.22,110.29
492.61,110.29
493.01,110.29
493.41,110.3
493.8,110.3
494.2,110.3
494.6,110.31
495,110.31
495.39,110.32
495.79,110.33
496.19,110.34
496.58,110.35
496.98,110.36
497.38,110.38
497.77,110.39
498.17,110.41
498.57,110.43
498.96,110.46
499.36,110.48
499.76,110.5
500.15,110.53
500.55,110.56
500.95,110.6
501.34,110.63
501.74,110.66
502.14,110.7
502.53,110.73
502.93,110.77
503.33,110.81
503.72,110.86
504.12,110.9
504.52,110.94
504.91,110.99
505.31,111.04
505.71,111.1
506.1,111.16
506.5,111.21
506.9,111.27
507.29,111.34
507.69,111.4
508.09,111.46
508.48,111.53
508.88,111.6
509.28,111.67
509.68,111.74
510.07,111.81
510.47,111.88
510.87,111.95
511.26,112.02
511.66,112.09
512.06,112.16
512.45,112.24
512.85,112.31
513.25,112.38
513.64,112.45
514.04,112.52
514.44,112.59
514.83,112.66
515.23,112.74
515.63,112.8
516.02,112.87
516.42,112.94
516.82,113.01
517.21,113.08
517.61,113.14
518.01,113.21
518.4,113.27
518.8,113.33
519.2,113.4
519.59,113.46
519.99,113.52
520.39,113.59
520.78,113.65
521.18,113.71
521.58,113.77
521.97,113.84
522.37,113.9
522.77,113.97
523.16,114.03
523.56,114.09
523.96,114.16
524.35,114.23
524.75,114.29
525.15,114.36
525.55,114.43
525.94,114.5
526.34,114.57
526.74,114.64
527.13,114.71
527.53,114.78
527.93,114.85
528.32,114.92
528.72,115
529.12,115.07
529.51,115.14
529.91,115.22
530.31,115.29
530.7,115.37
531.1,115.44
531.5,115.52
531.89,115.59
532.29,115.67
532.69,115.75
533.08,115.82
533.48,115.9
533.88,115.98
534.27,116.06
534.67,116.14
535.07,116.22
535.46,116.3
535.86,116.38
536.26,116.46
536.65,116.54
537.05,116.63
537.45,116.71
537.84,116.8
538.24,116.88
