x,y
369.79,269.21
370.17,268.91
370.54,268.61
370.91,268.33
371.28,268.06
371.66,267.81
372.03,267.57
372.4,267.33
372.78,267.1
373.15,266.89
373.52,266.67
373.89,266.47
374.27,266.27
374.64,266.08
375.01,265.89
375.39,265.7
375.76,265.52
376.13,265.34
376.5,265.17
376.88,265
377.25,264.83
377.62,264.67
378,264.51
378.37,264.35
378.74,264.19
379.11,264.04
379.49,263.88
379.86,263.73
380.23,263.58
380.61,263.43
380.98,263.29
381.35,263.14
381.72,263
382.1,262.86
382.47,262.71
382.84,262.57
383.22,262.43
383.59,262.29
383.96,262.16
384.33,262.02
384.71,261.88
385.08,261.75
385.45,261.61
385.83,261.48
386.2,261.34
386.57,261.21
386.94,261.08
387.32,260.95
387.69,260.82
388.06,260.69
388.44,260.56
388.81,260.43
389.18,260.3
389.55,260.17
389.93,260.04
390.3,259.91
390.67,259.79
391.05,259.66
391.42,259.54
391.79,259.41
392.16,259.29
392.54,259.16
392.91,259.04
393.28,258.92
393.66,258.8
394.03,258.67
394.4,258.55
394.77,258.43
395.15,258.31
395.52,258.19
395.89,258.08
396.27,257.96
396.64,257.84
397.01,257.72
397.38,257.61
397.76,257.49
398.13,257.38
398.5,257.26
398.88,257.15
399.25,257.04
399.62,256.93
399.99,256.82
400.37,256.7
400.74,256.6
401.11,256.49
401.49,256.38
401.86,256.27
402.23,256.16
402.6,256.06
402.98,255.95
403.35,255.85
403.72,255.74
404.1,255.64
404.47,255.54
404.84,255.43
405.21,255.33
405.59,255.23
405.96,255.13
406.33,255.03
406.71,254.93
407.08,254.84
407.45,254.74
407.82,254.64
408.2,254.55
408.57,254.45
408.94,254.35
409.32,254.26
409.69,254.16
410.06,254.07
410.43,253.98
410.81,253.88
411.18,253.79
411.55,253.7
411.93,253.61
412.3,253.52
412.67,253.43
413.04,253.35
413.42,253.26
413.79,253.17
414.16,253.09
414.54,253
414.91,252.92
415.28,252.83
415.65,252.75
416.03,252.66
416.4,252.58
416.77,252.49
417.15,252.41
417.52,252.32
417.89,252.24
418.26,252.16
418.64,252.08
419.01,251.99
419.38,251.91
419.76,251.83
420.13,251.75
420.5,251.67
420.87,251.59
421.25,251.51
421.62,251.43
421.99,251.35
422.37,251.27
422.74,251.19
423.11,251.11
423.48,251.02
423.86,250.94
424.23,250.86
424.6,250.78
424.98,250.71
425.35,250.63
425.72,250.54
426.09,250.47
426.47,250.39
426.84,250.31
427.21,250.23
427.59,250.15
427.96,250.07
428.33,249.99
428.7,249.91
429.08,249.83
429.45,249.75
429.82,249.68
430.19,249.6
430.57,249.52
430.94,249.44
431.31,249.37
431.69,249.29
432.06,249.21
432.43,249.13
432.8,249.05
433.18,248.97
433.55,248.9
433.92,248.82
434.3,248.74
434.67,248.67
435.04,248.59
435.41,248.52
435.79,248.44
436.16,248.37
436.53,248.29
436.91,248.22
437.28,248.14
437.65,248.07
438.02,248
438.4,247.92
438.77,247.85
439.14,247.78
439.52,247.71
439.89,247.64
440.26,247.57
440.63,247.5
441.01,247.43
441.38,247.36
441.75,247.29
442.13,247.22
442.5,247.16
442.87,247.09
443.24,247.02
443.62,246.95
443.99,246.88
444.36,246.81
444.74,246.74
445.11,246.68
445.48,246.61
445.85,246.54
446.23,246.48
446.6,246.41
