x,y
335.55,269.21
335.87,245.72
336.19,244.79
336.5,243.89
336.82,242.99
337.14,242.12
337.45,241.26
337.77,240.42
338.09,239.6
338.4,238.82
338.72,238.07
339.04,237.34
339.35,236.62
339.67,235.91
339.99,235.2
340.3,234.49
340.62,233.79
340.93,233.09
341.25,232.4
341.57,231.7
341.88,230.99
342.2,230.28
342.52,229.56
342.83,228.85
343.15,228.15
343.47,227.45
343.78,226.77
344.1,226.07
344.42,225.37
344.73,224.66
345.05,223.96
345.37,223.25
345.68,222.53
346,221.79
346.32,221.05
346.63,220.29
346.95,219.54
347.27,218.85
347.58,218.22
347.9,217.6
348.21,217
348.53,216.41
348.85,215.83
349.16,215.28
349.48,214.72
349.8,214.17
350.11,213.64
350.43,213.11
350.75,212.59
351.06,212.08
351.38,211.58
351.7,211.08
352.01,210.59
352.33,210.11
352.65,209.63
352.96,209.15
353.28,208.68
353.6,208.22
353.91,207.76
354.23,207.3
354.55,206.85
354.86,206.4
355.18,205.96
355.5,205.52
355.81,205.09
356.13,204.65
356.44,204.23
356.76,203.81
357.08,203.39
357.39,202.98
357.71,202.56
358.03,202.15
358.34,201.74
358.66,201.33
358.98,200.93
359.29,200.53
359.61,200.14
359.93,199.75
360.24,199.36
360.56,198.98
360.88,198.6
361.19,198.22
361.51,197.85
361.83,197.47
362.14,197.1
362.46,196.74
362.78,196.37
363.09,196.01
363.41,195.65
363.73,195.29
364.04,194.94
364.36,194.58
364.67,194.23
364.99,193.88
365.31,193.54
365.62,193.19
365.94,192.85
366.26,192.5
366.57,192.16
366.89,191.82
367.21,191.48
367.52,191.15
367.84,190.81
368.16,190.47
368.47,190.14
368.79,189.81
369.11,189.48
369.42,189.15
369.74,188.82
370.06,188.5
370.37,188.18
370.69,187.85
371.01,187.53
371.32,187.21
371.64,186.9
371.95,186.58
372.27,186.26
372.59,185.95
372.9,185.64
373.22,185.32
373.54,185.01
373.85,184.7
374.17,184.4
374.49,184.09
374.8,183.79
375.12,183.49
375.44,183.19
375.75,182.89
376.07,182.59
376.39,182.29
376.7,181.99
377.02,181.69
377.34,181.4
377.65,181.1
377.97,180.81
378.29,180.52
378.6,180.23
378.92,179.94
379.24,179.66
379.55,179.38
379.87,179.1
380.18,178.82
380.5,178.54
380.82,178.27
381.13,178
381.45,177.74
381.77,177.47
382.08,177.21
382.4,176.94
382.72,176.68
383.03,176.42
383.35,176.16
383.67,175.91
383.98,175.65
384.3,175.41
384.62,175.16
384.93,174.92
385.25,174.68
385.57,174.44
385.88,174.2
386.2,173.96
386.52,173.72
386.83,173.49
387.15,173.25
387.47,173.02
387.78,172.79
388.1,172.56
388.41,172.33
388.73,172.1
389.05,171.88
389.36,171.66
389.68,171.43
390,171.21
390.31,170.99
390.63,170.78
390.95,170.56
391.26,170.35
391.58,170.13
391.9,169.92
392.21,169.71
392.53,169.5
392.85,169.29
393.16,169.08
393.48,168.87
393.8,168.67
394.11,168.47
394.43,168.27
394.75,168.06
395.06,167.86
395.38,167.66
395.69,167.46
396.01,167.27
396.33,167.07
396.64,166.87
396.96,166.68
397.28,166.48
397.59,166.29
397.91,166.1
398.23,165.91
398.54,165.72
398.86,165.54
399.18,165.35
399.49,165.17
399.81,164.99
400.13,164.8
400.44,164.62
400.76,164.44
401.08,164.26
401.39,164.09
401.71,163.91
402.03,163.74
402.34,163.57
402.66,163.39
402.98,163.22
403.29,163.05
403.61,162.89
403.92,162.72
404.24,162.55
404.56,162.38
404.87,162.22
405.19,162.05
405.51,161.89
405.82,161.73
406.14,161.56
406.46,161.4
406.77,161.24
407.09,161.08
407.41,160.92
407.72,160.76
408.04,160.61
408.36,160.45
408.67,160.29
408.99,160.14
409.31,159.98
409.62,159.83
409.94,159.67
410.26,159.51
410.57,159.36
410.89,159.2
411.21,159.05
411.52,158.9
411.84,158.74
412.15,158.59
412.47,158.44
412.79,158.29
413.1,158.14
413.42,157.99
413.74,157.84
414.05,157.69
414.37,157.55
414.69,157.4
415,157.26
415.32,157.12
415.64,156.98
415.95,156.84
416.27,156.7
416.59,156.56
416.9,156.42
417.22,156.28
417.54,156.14
417.85,156
418.17,155.87
418.49,155.73
418.8,155.59
419.12,155.46
419.43,155.32
419.75,155.19
420.07,155.05
420.38,154.91
420.7,154.78
421.02,154.65
421.33,154.51
421.65,154.38
421.97,154.25
422.28,154.12
422.6,153.99
422.92,153.86
423.23,153.74
423.55,153.61
423.87,153.49
424.18,153.36
424.5,153.24
424.82,153.12
425.13,153
425.45,152.87
425.77,152.75
426.08,152.63
426.4,152.51
426.72,152.4
427.03,152.28
427.35,152.16
427.66,152.04
427.98,151.93
428.3,151.81
428.61,151.7
428.93,151.58
429.25,151.47
429.56,151.35
429.88,151.24
430.2,151.13
430.51,151.02
430.83,150.91
431.15,150.8
431.46,150.69
431.78,150.58
432.1,150.47
432.41,150.36
432.73,150.26
433.05,150.15
433.36,150.05
433.68,149.94
434,149.84
434.31,149.74
434.63,149.63
434.94,149.53
435.26,149.44
435.58,149.34
435.89,149.24
436.21,149.15
436.53,149.05
436.84,148.96
437.16,148.87
437.48,148.77
437.79,148.68
438.11,148.59
438.43,148.5
438.74,148.41
439.06,148.33
439.38,148.24
439.69,148.15
440.01,148.07
440.33,147.99
440.64,147.9
440.96,147.82
441.28,147.74
441.59,147.66
441.91,147.58
442.23,147.5
442.54,147.42
442.86,147.34
443.17,147.27
443.49,147.19
443.81,147.12
444.12,147.04
444.44,146.97
444.76,146.9
445.07,146.83
445.39,146.76
445.71,146.69
446.02,146.63
446.34,146.56
446.66,146.49
446.97,146.43
447.29,146.37
447.61,146.3
447.92,146.24
448.24,146.17
