x,y
316.88,269.21
317.24,261.73
317.59,260.78
317.95,259.86
318.31,258.95
318.66,258.04
319.02,257.12
319.38,256.23
319.74,255.33
320.09,254.44
320.45,253.55
320.81,252.68
321.16,251.81
321.52,250.95
321.88,250.12
322.23,249.32
322.59,248.54
322.95,247.79
323.31,247.04
323.66,246.31
324.02,245.59
324.38,244.85
324.73,244.09
325.09,243.32
325.45,242.54
325.81,241.78
326.16,241.02
326.52,240.3
326.88,239.6
327.23,238.93
327.59,238.27
327.95,237.63
328.31,237.02
328.66,236.41
329.02,235.82
329.38,235.23
329.73,234.65
330.09,234.07
330.45,233.5
330.81,232.93
331.16,232.35
331.52,231.78
331.88,231.21
332.23,230.65
332.59,230.08
332.95,229.51
333.31,228.95
333.66,228.38
334.02,227.82
334.38,227.25
334.73,226.7
335.09,226.14
335.45,225.59
335.8,225.05
336.16,224.51
336.52,223.97
336.88,223.44
337.23,222.91
337.59,222.38
337.95,221.86
338.3,221.33
338.66,220.81
339.02,220.29
339.38,219.77
339.73,219.26
340.09,218.76
340.45,218.25
340.8,217.74
341.16,217.24
341.52,216.74
341.88,216.23
342.23,215.73
342.59,215.23
342.95,214.72
343.3,214.22
343.66,213.73
344.02,213.23
344.38,212.74
344.73,212.25
345.09,211.77
345.45,211.29
345.8,210.81
346.16,210.34
346.52,209.87
346.88,209.4
347.23,208.94
347.59,208.47
347.95,208.02
348.3,207.56
348.66,207.11
349.02,206.66
349.37,206.21
349.73,205.77
350.09,205.33
350.45,204.89
350.8,204.46
351.16,204.02
351.52,203.59
351.87,203.16
352.23,202.72
352.59,202.29
352.95,201.86
353.3,201.43
353.66,201
354.02,200.57
354.37,200.14
354.73,199.71
355.09,199.28
355.45,198.86
355.8,198.43
356.16,198.01
356.52,197.58
356.87,197.16
357.23,196.74
357.59,196.32
357.95,195.9
358.3,195.48
358.66,195.06
359.02,194.64
359.37,194.22
359.73,193.8
360.09,193.39
360.45,192.98
360.8,192.57
361.16,192.17
361.52,191.76
361.87,191.36
362.23,190.96
362.59,190.57
362.94,190.18
363.3,189.8
363.66,189.41
364.02,189.03
364.37,188.65
364.73,188.27
365.09,187.89
365.44,187.52
365.8,187.15
366.16,186.78
366.52,186.41
366.87,186.04
367.23,185.68
367.59,185.32
367.94,184.96
368.3,184.6
368.66,184.24
369.02,183.88
369.37,183.53
369.73,183.18
370.09,182.84
370.44,182.49
370.8,182.15
371.16,181.81
371.52,181.47
371.87,181.13
372.23,180.8
372.59,180.46
372.94,180.13
373.3,179.8
373.66,179.48
374.02,179.15
374.37,178.83
374.73,178.51
375.09,178.19
375.44,177.87
375.8,177.55
376.16,177.23
376.52,176.92
376.87,176.6
377.23,176.29
377.59,175.98
377.94,175.67
378.3,175.36
378.66,175.05
379.01,174.75
379.37,174.44
379.73,174.13
380.09,173.83
380.44,173.52
380.8,173.21
381.16,172.91
381.51,172.6
381.87,172.3
382.23,171.99
382.59,171.68
382.94,171.38
383.3,171.07
383.66,170.76
384.01,170.46
384.37,170.15
384.73,169.85
385.09,169.54
385.44,169.24
385.8,168.94
386.16,168.64
386.51,168.33
386.87,168.03
387.23,167.73
387.59,167.43
387.94,167.13
388.3,166.83
388.66,166.53
389.01,166.23
389.37,165.93
389.73,165.63
390.09,165.34
390.44,165.04
390.8,164.73
391.16,164.43
391.51,164.14
391.87,163.84
392.23,163.55
392.58,163.25
392.94,162.95
393.3,162.66
393.66,162.36
394.01,162.07
394.37,161.77
394.73,161.48
395.08,161.19
395.44,160.89
395.8,160.6
396.16,160.31
396.51,160.01
396.87,159.72
397.23,159.43
397.58,159.14
397.94,158.85
398.3,158.56
398.66,158.27
399.01,157.97
399.37,157.68
399.73,157.39
400.08,157.11
400.44,156.82
400.8,156.53
401.16,156.25
401.51,155.96
401.87,155.68
402.23,155.39
402.58,155.11
402.94,154.82
403.3,154.54
403.66,154.26
404.01,153.98
404.37,153.7
404.73,153.43
405.08,153.15
405.44,152.88
405.8,152.61
406.15,152.34
406.51,152.07
406.87,151.81
407.23,151.55
407.58,151.3
407.94,151.04
408.3,150.79
408.65,150.53
409.01,150.28
409.37,150.03
409.73,149.78
410.08,149.53
410.44,149.29
410.8,149.05
411.15,148.8
411.51,148.56
411.87,148.32
412.23,148.07
412.58,147.84
412.94,147.61
413.3,147.37
413.65,147.13
414.01,146.9
414.37,146.68
414.73,146.44
415.08,146.21
415.44,145.98
415.8,145.76
416.15,145.53
416.51,145.31
416.87,145.09
417.23,144.88
417.58,144.67
417.94,144.45
418.3,144.24
418.65,144.03
419.01,143.81
419.37,143.6
419.72,143.39
420.08,143.18
420.44,142.96
420.8,142.75
421.15,142.54
421.51,142.33
421.87,142.12
422.22,141.91
422.58,141.7
422.94,141.49
423.3,141.28
423.65,141.08
424.01,140.87
424.37,140.67
424.72,140.46
425.08,140.26
425.44,140.06
425.8,139.85
426.15,139.65
426.51,139.45
426.87,139.25
427.22,139.05
427.58,138.85
427.94,138.65
428.3,138.45
428.65,138.25
429.01,138.05
429.37,137.85
429.72,137.66
430.08,137.46
430.44,137.27
430.8,137.08
431.15,136.89
431.51,136.7
431.87,136.51
432.22,136.32
432.58,136.13
432.94,135.95
433.29,135.77
433.65,135.59
434.01,135.4
434.37,135.23
434.72,135.05
435.08,134.88
435.44,134.71
435.79,134.54
436.15,134.37
436.51,134.2
436.87,134.04
437.22,133.87
437.58,133.71
437.94,133.55
438.29,133.39
438.65,133.22
439.01,133.05
439.37,132.89
439.72,132.73
440.08,132.57
440.44,132.42
440.79,132.26
441.15,132.11
441.51,131.95
441.87,131.79
442.22,131.64
442.58,131.48
442.94,131.33
443.29,131.17
443.65,131.01
444.01,130.85
444.37,130.67
444.72,130.47
445.08,130.27
445.44,130.05
445.79,129.79
446.15,129.48
446.51,129.1
446.86,128.59
447.22,127.99
447.58,127.45
447.94,127.01
448.29,126.67
448.65,126.38
449.01,126.12
449.36,125.89
449.72,125.69
450.08,125.52
450.44,125.37
