theta,r
-1.5703396875452258,249.7734337424327
-1.569699691885631,249.64475976012258
-1.569059989237459,249.60577624405096
-1.5684202880103713,249.58392867867616
-1.5677805887279153,249.50877850837523
-1.5671385520415084,249.4216835734782
-1.566498448755287,249.36792577493776
-1.5658583489910258,249.29737338244718
-1.5652146804605438,249.2171243035949
-1.5645741793488754,249.11927625663583
-1.5639336833424,249.05916100294212
-1.5632931929665577,249.03496519593358
-1.56264748945624,248.9677642327305
-1.5620009645168655,248.8795171201585
-1.5613596727968408,248.82805881347866
-1.5607183888386953,248.78834252358052
-1.5600771131697275,248.68100273837717
-1.5594358463171956,248.58547927078536
-1.558786887353768,248.45839308514104
-1.5581452283158996,248.3238282654566
-1.557503579695997,248.3122968933466
-1.5568529949551912,248.1922627417567
-1.5562109568907634,248.133301647782
-1.55555914752427,247.96016350799368
-1.554926917366379,247.95368401022938
-1.5542743089697169,247.7347834454541
-1.5536208754275074,247.6526542880816
-1.5529895249672094,247.6117474614619
-1.5523352947242361,247.47543441131273
-1.5516925269919701,247.39375109351045
-1.5510370732576326,247.2961259152386
-1.5503939244218436,247.1997665197463
-1.5497507924664684,247.01417900635656
-1.5490937186652447,246.91065812713654
-1.5484502084260658,246.848625404208
-1.547791911155749,246.7523712655749
-1.547148024370184,246.63386408792886
-1.5465197908958754,246.5981987814278
-1.545860310167277,246.45640745115438
-1.5452000009028388,246.31575424494767
-1.5445557812881767,246.21574140412332
-1.5439115834584207,246.12786943320233
-1.5432496588895324,246.03262363385275
-1.5426050913526541,245.9947639976689
-1.541960547246202,245.86672299953625
-1.5413160271044037,245.84966300050297
-1.540652098136783,245.58279555730786
-1.5399873381374283,245.48647542966506
-1.539362352083926,245.45161638525786
-1.5386968124832046,245.36310729440066
-1.5380515894939977,245.31551669319688
-1.5374063937774831,245.25378599021096
-1.536739245330143,245.1394565647849
-1.5360936897839872,245.0862396724884
-1.5354253212566684,244.9884556418377
-1.5347794077113053,244.97264506554103
-1.5341335242303678,244.9266834866483
-1.5334635492606725,244.7855413333811
-1.5328418496085914,244.74626865211036
-1.5321711039864854,244.6545768010463
-1.5314995244867036,244.50002864367258
-1.5308787878038284,244.50998985821133
-1.530206440300822,244.36661559567543
-1.5295599488633607,244.31570963740964
-1.5288863838271218,244.2445320685559
-1.5282395445168675,244.19897017081362
-1.5275927408377679,244.14897285331435
-1.5269175765879448,243.9111299632158
-1.5262704280729835,243.84307025332336
-1.5256233168755309,243.8051419881503
-1.5249762435342709,243.73332675169095
-1.5243292085876983,243.7084535550078
-1.5236516885334341,243.6410741151497
-1.522973332106364,243.4680657309932
-1.5223255794323447,243.3947912373466
-1.5216778674627,243.3512494780592
-1.5209979181665607,243.27744030721632
-1.5203498705853125,243.21435901675378
-1.5197018654088221,243.0908597346603
-1.5190539031770827,243.02031892020491
-1.5183719877774602,242.9212313984395
-1.517689234065932,242.81898833972303
-1.5170754452953872,242.82157086125326
-1.5163919429191421,242.69407420247867
-1.5157433658039088,242.6775527663267
-1.5150948350485107,242.63171855615263
-1.5144097480145766,242.46909712826658
-1.5137608922135994,242.42898888523496
-1.5130745940131771,242.3142713129091
-1.5124254151616472,242.25360942699336
-1.5117762855612038,242.1950123069093
-1.5111272057532266,242.16961757239042
-1.5104781762788435,242.14247024745504
-1.5097895580607703,242.0702496800671
-1.509100099619337,241.97801389946207
-1.5084909161658973,241.95645237189788
-1.5078007220194347,241.816566613808
-1.5071511128116701,241.7158010841978
-1.5064597112920473,241.66337133424796
-1.5058097898371918,241.67354518580117
-1.5051599233554482,241.60340565066713
-1.5044669494903198,241.4900125219105
-1.5038167740066564,241.43250699651185
-1.50316665523116,241.3476490198133
-1.5025165937058906,241.3024237016768
-1.5018216871128174,241.23300479751362
-1.5011713210458053,241.21523407503597
-1.500475210357331,241.07442501567598
-1.49982454183278,241.0548217566123
-1.499173933498337,241.02459870320223
-1.4985233858963671,240.98851115409957
-1.4978253509355022,240.87949036335112
-1.4972224750577705,240.82693535775329
-1.4965237223026104,240.73605517374352
-1.495824127281518,240.6295575838106
-1.4951236891567423,240.54688250184677
-1.4945220360904226,240.54486171342668
-1.4938208838226552,240.47375629812535
-1.4931695790463861,240.44689089506642
-1.4925183402542357,240.36841158442266
-1.4918156336017416,240.3134713597815
-1.491164106869482,240.27297946628897
-1.4904602022703297,240.19329462111872
-1.4898083897523027,240.15419639826018
-1.4891566461948211,240.0582611719339
-1.4885049721405357,240.04447663318683
-1.4878533681317443,239.9857712365962
-1.4871472102671226,239.89506794829293
-1.4864402083795059,239.82395150971038
-1.4857879741535582,239.7616850405766
-1.4851358124209872,239.71053605282881
-1.4844837237243627,239.63062067000837
-1.4837748291219404,239.54518039746873
-1.4831797676073812,239.57190175646718
-1.4824701778464464,239.46796302700923
-1.481759743896502,239.39106368652887
-1.4811071847592152,239.3391234149962
-1.4804547022036778,239.28875246644037
-1.4798022967718787,239.21007680328063
-1.4790899820591494,239.08687359026845
-1.478437310418251,239.04602960089923
-1.4777238072814627,238.92203021111033
-1.477070871671076,238.90883099148073
-1.4764180162006615,238.8999515739005
-1.4757652414118838,238.88143045052462
-1.4750498673738273,238.69719523313407
-1.474459936043847,238.658118784307
-1.4737438817898374,238.5541092806679
-1.4730269830339804,238.4696635518382
-1.4723092390196046,238.3865168790825
-1.4717206527176812,238.3831266134679
-1.4710676144771262,238.3552265286753
-1.4703488573764827,238.28523575312883
-1.4696955681876456,238.27761180439467
-1.4689756301291816,238.13996368189436
-1.468322092287961,238.07451684094207
-1.4676009739198659,237.942105015579
-1.4669471897325614,237.8787404311061
-1.4662934946308854,237.81894294328785
-1.4655708635036533,237.69874564266837
-1.4649863738453577,237.71313032132394
-1.4642630786373985,237.63052659870283
-1.463538938293704,237.53261891443353
-1.4628848521183218,237.47605734543077
-1.4622308586251374,237.41967569277168
-1.4615769583537694,237.29128990435524
-1.4608509835845342,237.24552691572612
-1.4601968489967951,237.122851219379
-1.4594697010429376,237.03320948674383
-1.4588153344971964,237.0011758040458
-1.4581610642396743,236.95938601210764
-1.4575068908091429,236.94706600908643
-1.4567779194100572,236.86293444923822
-1.4560481026358334,236.7644085007195
-1.4554692170732642,236.7011323588015
-1.4547387529607747,236.6091300004428
-1.4540842277085992,236.57494646360792
-1.4534298028972357,236.50589464821306
-1.4526978498704406,236.430494106875
-1.4520432053281358,236.38048827917365
-1.4513100868071516,236.2780660946862
-1.4506552249431008,236.20644879809174
-1.4499209417949321,236.06942933808924
-1.44926586502838,236.028235554177
-1.4486912626524897,235.99762743302375
-1.4479560264422449,235.8858963765875
-1.4472199457417105,235.8376288274735
-1.4465648692053914,235.72913633427487
-1.445909899825162,235.68619793258785
-1.4451723439806365,235.62345189253037
-1.4445171684134066,235.6137368202627
-1.4438621018199196,235.55235446881642
-1.443207144735043,235.5205805778312
-1.4424678058201572,235.42267470383212
-1.4418126475734645,235.368849651949
-1.4410721535745623,235.28608824393413
-1.4404167966368948,235.26467390372824
-1.439761552312908,235.2111169029803
-1.439106421136084,235.16034839771254
-1.438364156154737,234.98589037549013
-1.4376210473663549,234.8489952039228
-1.4370536215037608,234.85289344380968
-1.4363098997441193,234.79011003614133
-1.4356545000555037,234.71959307634233
-1.434909629883494,234.59928894191367
-1.43425404285424,234.5883460776759
-1.433598573908791,234.54631160721038
-1.432852253487407,234.42210094135868
-1.4321966010124956,234.36641660872124
-1.4315410684471217,234.2942996638473
-1.4307933020939623,234.19696111319618
-1.4302303651657713,234.21985916527956
-1.429481999290143,234.17266442324998
-1.4287327913707513,234.04755733232832
-1.4279827408281236,233.93067735341725
-1.427421382134291,233.9080664221277
-1.4267658633906375,233.8427935548701
-1.4260149222108744,233.75014845027172
-1.4253592327521933,233.7138679947268
-1.4246071549883152,233.64576627333798
-1.4239512973792992,233.63967366923515
-1.4231980842306877,233.57639750050362
-1.4225420610453856,233.51417840351604
-1.4218861663853959,233.4686537694144
-1.4211315275515288,233.32360548683704
-1.4205747647462874,233.30161838793865
-1.419819545213377,233.23677971229472
-1.419063485286035,233.1884774314217
-1.418407401509358,233.18280838087352
-1.417751449921446,233.14637847933446
-1.417095631046658,233.0571376803817
-1.4163378680799414,232.996758486655
-1.4156818966411606,232.95508284501958
-1.41492300849188,232.8581918723134
-1.4142668871074349,232.7828990351198
-1.4136109015767884,232.77286411459968
-1.4129550524221384,232.73960075876303
-1.412194474855792,232.66123621227197
-1.4114330584752641,232.59207691728366
-1.4108826253612528,232.63151497915646
-1.4101206476606307,232.56256101873092
-1.40946465127247,232.53926234943037
-1.4088087949238668,232.4684825727856
-1.4080454219285654,232.3423150619561
-1.4073894287986786,232.31043779892838
-1.406624941386822,232.25208706704444
-1.4059688141365287,232.23028811979628
-1.4052032137318757,232.15064216472592
-1.4045469550308565,232.08234413556488
-1.4040012935681088,232.08937321296358
-1.4032348716495489,232.01319833125018
-1.4024676139475956,231.96800051065512
-1.4016995199991942,231.88054268986133
-1.4010431535780126,231.80924763580828
-1.4003869348099678,231.78906086140847
-1.3996174639062868,231.74477270320443
-1.3989611243888174,231.65915554456296
-1.398190549143584,231.5638858194718
-1.3975340915840284,231.45614385916502
-1.3967624135282644,231.38425251161271
-1.3961058406424975,231.2884835820912
-1.3953330613258645,231.20322007309102
-1.3945594464509339,231.08898672054843
-1.3939024968290754,231.04667734897166
-1.3932457014724375,230.9576794114866
-1.3924707243577203,230.8702141648455
-1.391694912040745,230.7598009218114
-1.3910377482587315,230.69927538780217
-1.3903807413960623,230.63131702748896
-1.3896035729061251,230.47601469353648
-1.3888255696165461,230.38749881812504
-1.3880467311248978,230.33349256018286
-1.3873891063980415,230.2563168122978
-1.3866091751184724,230.14418819087754
-1.3859514544287832,230.06388487198132
-1.3851704320467562,229.91566496510603
-1.3843885745393,229.838094493559
-1.3838549673862794,229.86504020900855
-1.383072602160665,229.7743652418288
-1.3822894027055082,229.6186191043485
-1.3815053686481684,229.52292027155485
-1.380847125502482,229.48241549655114
-1.380189048927193,229.40591751491417
-1.3794036793671078,229.28268729304258
-1.3787455208521984,229.21415874053133
-1.3779590688999617,229.08313465387496
-1.3773008312741077,229.03207909894113
-1.3765132987284818,228.8508773969208
-1.3758549848282546,228.75958423368084
-1.3757249327702779,228.7038945470852
-1.3749357330573748,228.58308636336128
-1.3742769291004278,228.48304039192732
-1.3734866512735002,228.3249672661913
-1.37282777691025,228.28203075102812
-1.372036422830079,228.1059433059413
-1.3712442353510046,227.98597745173205
-1.370718714486036,227.97929321801448
-1.369926045902723,227.88209977596298
-1.3691325449744614,227.77424304066494
-1.3683382113903724,227.68266358214015
-1.367678905133951,227.55529059717168
-1.367019777882158,227.4849479025283
-1.3662241377771738,227.3029440372257
-1.3655649545255062,227.169192524513
-1.364768247756516,227.0152120124316
-1.3641090114089232,226.93715524609942
-1.3633112399508927,226.83807154210052
-1.36265195341875,226.79482467626357
-1.3618531192656969,226.77002897534877
-1.3610534545285493,226.63931572371266
-1.3603938906327466,226.60200521692596
-1.3595931656649032,226.49977924194877
-1.3587916102996616,226.33448587477415
-1.3579892242761846,226.21630293400898
-1.3573291627755912,226.18333305566043
-1.3566692901059938,226.1646080635293
-1.3558656213860398,226.0785292372397
-1.3552057134441742,226.0527842694409
-1.3544009911799706,225.9851588133909
-1.3537410509267804,225.93129886682718
-1.352935277232547,225.78943692677112
-1.3522753076360061,225.81100337896436
-1.3514684846450715,225.8074846896663
-1.3506608335110841,225.71668939228348
-1.3501486874613957,225.75958689275922
-1.3493405991934142,225.71467987636865
-1.3485316840854917,225.60664210422834
-1.3477219419281803,225.52306718430518
-1.3470616864461153,225.56859846068036
-1.3462509020724116,225.5196437920078
-1.3454392910169481,225.46068802999767
-1.3446268530856158,225.32800523844594
-1.3439661560005245,225.34369043822238
-1.3433056603538354,225.2615806820153
-1.3424919727359401,225.19477528242768
-1.3418314690170365,225.18460600310846
-1.3410167465181884,225.13143301694123
-1.3403562377553868,225.1371802410541
-1.3395404826679163,225.08539788630566
-1.3388799718960065,225.07439514850108
-1.3380631865313486,224.97505392282727
-1.3372455773843486,224.9358108706991
-1.3365848634802122,224.93394404786667
-1.3359243578200208,224.90845698713915
-1.3351055189116592,224.90746728324248
-1.3342858575474688,224.88212472628848
-1.3336251582481866,224.852376416909
-1.3329646699149034,224.8154767238077
-1.3328044743380534,224.7730529437676
-1.331982968525518,224.75055157537082
-1.3313220828820194,224.77174898683097
-1.3304995576270529,224.74330838349312
-1.3298386886713716,224.7574243364169
-1.3290151464064082,224.75065519937397
-1.3283542972232003,224.76267494498666
-1.3275297403997326,224.713614725864
-1.326868914079594,224.7028004492196
-1.3262083050583864,224.69882607319
-1.3253825448075534,224.65365314035358
-1.3252169571497443,224.61310552670702
-1.3243897499350987,224.61383610695287
-1.3235617234392683,224.58929442258196
-1.323394656558752,224.54849987279619
-1.322565179226098,224.51885261853744
-1.3219032122858894,224.52902176174712
-1.3217348815189118,224.4882803413656
-1.3209037633660377,224.43361093001994
-1.3200718247007126,224.40112916941
-1.3192390654605857,224.3825388355844
-1.3190686060291419,224.34425743496521
-1.3182343891000297,224.32948393858334
-1.3175710850286844,224.3478391892799
-1.3173993505508406,224.30763164233127
-1.3165634903334045,224.34869837548558
-1.315899821660437,224.31119614246433
-1.3157268084040483,224.26388641635526
-1.3155535652456396,224.21656966480828
-1.3147154198642532,224.17427739598662
-1.3140509792574837,224.17045538723352
-1.3138764517653398,224.1304139274751
-1.313036660919728,224.11062716394616
-1.3121960473028307,224.04731961148087
-1.3113546108946645,224.02153275334825
-1.311177914977788,224.00061515857433
-1.310335008489036,223.9867049036809
-1.3096692696477157,223.9794703661088
-1.309491278254375,223.9434674604101
-1.3093130496070335,223.91066500496225
-1.3084678455637184,223.85464678040438
-1.3078013465316565,223.8358867018665
-1.30762181684106,223.78347988336745
-1.3067749634443773,223.77450955066124
-1.3059272853837307,223.81927268710734
-1.3052602708788412,223.82553631797882
-1.3050787826739414,223.78085272204316
-1.3048970520910743,223.73616825854842
-1.3040470691284496,223.70728077761365
-1.3033793033901286,223.71908078352809
-1.3031962606365963,223.6719965418582
-1.3023446266458147,223.62260118336317
-1.3016765258074077,223.65103595401706
-1.3014921671912534,223.6225193045898
-1.3006388823129278,223.5972726100891
-1.299784772055739,223.57638599033112
-1.2995988453940972,223.53703468212433
-1.2987432477107708,223.51302033129954
-1.2978868238344896,223.48916245044657
-1.297217489533672,223.46020343017568
-1.2970295738261062,223.41574312197946
-1.2968414062851128,223.37664406935536
-1.295982664409387,223.4414494066454
-1.29531259568133,223.42766279046162
-1.2944528676915872,223.36711778080263
-1.2942626999997173,223.3280404288643
-1.2934014776249523,223.3136178816804
-1.2925394285847795,223.28947390760703
-1.2923476657805457,223.2501676112237
-1.291484118837227,223.1782516554612
-1.2908128508823409,223.13396864570237
-1.2906197445068976,223.09131558400026
-1.289754542893355,223.02906307755288
-1.2888885141055488,222.95185087618557
-1.2886937990532255,222.89431050986363
-1.2878262672715994,222.82708745470018
-1.286957907642077,222.76331133601607
-1.286285465863736,222.72679150100538
-1.2860887202905686,222.69584294817997
-1.2852187053482278,222.6193668461141
-1.2843478629514693,222.57045266834507
-1.2841494923392975,222.5262099703429
-1.2832771412000934,222.44097823165112
-1.282603696366773,222.36102829143448
-1.2824039619940129,222.30217633681772
-1.2815299548748422,222.26835508718167
-1.2806551200017204,222.1922103417707
-1.2799812442965266,222.19349904800902
-1.279307640311619,222.19166378698895
-1.2784316958316335,222.06872706332402
-1.2775549260710448,222.07829309302102
-1.2766773312128783,221.93723628642186
-1.276003583996852,221.93896290232698
-1.2751250279162236,221.86768377029406
-1.2742456482031241,221.72422193607372
-1.273571906962227,221.7202835113463
-1.2728984436802975,221.74706618264082
-1.2726915706606436,221.70788801800646
-1.2718104122300813,221.62282155192582
-1.2711366856901836,221.59626972907986
-1.2702545753625518,221.49976717916138
-1.269581000186542,221.50630543558697
-1.2686979413724415,221.47346908183312
-1.2680245210671166,221.43232833679934
-1.2671405171965464,221.36931515345015
-1.266255695429704,221.25861145991502
-1.2655823097940395,221.24515117806573
-1.2646965477868317,221.15966471851306
-1.2638099695113134,221.05575385552396
-1.2631366273815963,221.07799809105072
-1.2622491137390341,221.06930692248594
-1.2613607854948758,220.99699389470302
-1.2604716429310248,220.94769146385443
-1.2600144963963724,220.9475643426718
-1.2591251225877578,220.86779789038968
-1.258908165485852,220.84079260644415
-1.2580172813101187,220.81217132830483
-1.2573439399944109,220.80963430066896
-1.2566708924716508,220.785881596047
-1.2557789735798757,220.75359449781905
-1.2548862449982134,220.69021555794953
-1.253992707048484,220.64349738389174
-1.2533196280167722,220.69224459114056
-1.2524251747642345,220.6832395824079
-1.2515299139662022,220.6011671333046
-1.2508569231510172,220.6083947864165
-1.2501842323246386,220.60218797654025
-1.2492879594328077,220.52855008609603
-1.2490637755824125,220.4808737705477
-1.2481659936307716,220.44937350685927
-1.24749300047278,220.47194786939014
-1.24682031068811,220.47381703066813
-1.2459215279185485,220.39470421391698
-1.2450219429230056,220.3352413295056
-1.2443493652218218,220.30966900305603
-1.2436770936834858,220.27270687189412
-1.2434488843166969,220.22111032054914
-1.2425476031496314,220.17073830714725
-1.241875146656271,220.22581187413016
-1.240972974940654,220.1208717085267
-1.2403007373021413,220.12371003721282
-1.2393976788367012,220.08449048483664
-1.2384938237313148,220.0396223082549
-1.2375891724101438,219.9884651192267
-1.2369169858305715,219.95174095627198
-1.2362451125563285,219.93167003517186
-1.2353394987000152,219.8880263721714
-1.2344330919268187,219.82799396170967
-1.233525892686231,219.8023812506073
-1.2328540911083412,219.81421840706844
-1.2319460216350877,219.7455399630765
-1.231037161839899,219.65223567596223
-1.2303655240953741,219.66591918223344
-1.2296942057756546,219.65868663002772
-1.2294557996849265,219.62191221092968
-1.2285452871374947,219.57719733988546
-1.2276339869400863,219.48268553800648
-1.2272026796805853,219.51552181770867
-1.2262912378930788,219.4805809125814
-1.2253790114380463,219.44557923495796
-1.2244660008219534,219.41003963280636
-1.2237949759763633,219.40985656778304
-1.2228811161548747,219.30845892242914
-1.2219664744600336,219.24667944493436
-1.2212956472562042,219.21514086414263
-1.2203801621709656,219.18473243386606
-1.2194638975396177,219.14039638606272
-1.2185468539064948,219.0708670658364
-1.2178761752076999,219.05607462145008
-1.2172058277123408,219.0395750466833
-1.216287892128193,218.98041058127848
-1.215369181201012,218.9620069824076
-1.2144496955008344,218.91727330665503
-1.2137795176175117,218.87369514765464
-1.2128592063003576,218.7979777398014
-1.2121893128799275,218.76141087856712
-1.2112681800956562,218.7214844873858
-1.2105985747584138,218.72213526046562
-1.210346276867648,218.67847980174056
-1.2094236037979162,218.6290662521683
-1.208753906042342,218.61454447198616
-1.2078304194761487,218.57391802203605
-1.2071610179996868,218.55914971768146
-1.2069061655931543,218.50861171228638
-1.2059811450176725,218.45411819377782
-1.2053116609093424,218.44695472157872
-1.2043858349185554,218.40182681275368
-1.2034592448157797,218.34461942441857
-1.2025318912477108,218.2966766476045
-1.2016037748673618,218.2437870121442
-1.2009344880675763,218.23011160452106
-1.200674896334078,218.17978478531182
-1.1997452563135487,218.1352201645835
-1.19907590466502,218.14041942274835
-1.1984069021588644,218.13145478204729
-1.1981454733992065,218.08130138610895
-1.1972142833307389,217.95053958995723
-1.1962823351478613,217.90176441551571
-1.1956132483328592,217.85011943934734
-1.1946805173051862,217.69314551804968
-1.1944161672238085,217.61738815423678
-1.1934819488911135,217.51116883967333
-1.1928127898385101,217.49224472475672
-1.1918777948276587,217.40725862378522
-1.1909420465946097,217.29789411630045
-1.1902732035305117,217.31183713294337
-1.1893366851297293,217.21134858642608
-1.1883994163353946,217.0623736814876
-1.1874613978939643,217.02266306548955
-1.1865226305583685,216.93711311207494
-1.1855831150880185,216.82164264855373
-1.1846428522488197,216.77340444731408
-1.1839742872763441,216.75495924120315
-1.1837018428131834,216.70499154152844
-1.1827600875600357,216.60216924618834
-1.18181758727483,216.57394775095608
-1.1811490010631345,216.5648062683218
-1.1802057522312248,216.43051887213807
-1.1799303547827593,216.37356618726554
-1.178985624179533,216.38913182198013
-1.1785935368152662,216.38486883750147
-1.177648804163253,216.2632129707459
-1.177371556678995,216.21228472825334
-1.1764253445259885,216.09138083751222
-1.1757571226018868,216.0824801194712
-1.1748101753487508,215.98987133381192
-1.1738624915624274,215.8706552070244
-1.1729140720874947,215.79715723583612
-1.1722462405375087,215.74761315710037
-1.1712970951244028,215.63590880041835
-1.171015029483153,215.58076956526187
-1.1700644080759681,215.59172282508712
-1.1696797821843727,215.63293084862835
-1.1693966074814717,215.58406804712604
-1.1684452669935652,215.48142775171863
-1.1674931965670312,215.43960307696474
-1.166825804052097,215.44075986900634
-1.1658730215821502,215.4406487795205
-1.165586869454952,215.39199704829943
-1.1646326145644887,215.32905555506278
-1.1639652773778257,215.3440563982298
-1.163010317458191,215.3204804399657
-1.1620546335478523,215.2768390965971
-1.1610982265708678,215.30104675589422
-1.1601410974579853,215.2235056614611
-1.1598504632704154,215.17808114588078
-1.1588918641366075,215.14945034579478
-1.1582246765810187,215.1483862837264
-1.157932544240238,215.1190518971734
-1.156972504535802,215.12947342080628
-1.1563053784970534,215.16685632085256
-1.156011745984535,215.09352571668555
-1.155050269554421,215.0590565262571
-1.1540880762202,215.03795000226333
-1.153125166963376,215.04862722028088
-1.152828885388089,215.0221376955436
-1.1518645079116676,215.03150819267483
-1.1511972046418002,215.0699578440764
-1.1508994160138173,215.03320228667317
-1.1499336107001414,215.05854030671313
-1.1489670929830533,215.07669791978077
-1.1479998638817852,215.0892572387948
-1.1476994103595928,215.06111053803107
-1.1467307142606187,215.10898044640345
-1.1460632756377682,215.17192681644565
-1.145761308373664,215.1328937507673
-1.1447911937423187,215.11143852814766
-1.143820371417035,215.13632185147148
-1.1435164831611497,215.0933143070444
-1.1425441947509098,215.10857680696978
-1.1415712003215437,215.1100684245444
-1.1409036688851515,215.12563624691634
-1.1405975009480749,215.0894240439531
-1.1402909238939891,215.05366423028573
-1.1393157589007719,215.13830052223844
-1.1386479917034558,215.16133001574127
-1.137672184016902,215.20861526858434
-1.1366956757554505,215.22322134376864
-1.136386049081425,215.1873983021063
-1.1354080778841076,215.17604116544857
-1.1344294079199033,215.13711592531453
-1.1337619586524603,215.18880644176534
-1.1334500403163719,215.1738256616461
-1.133137705235305,215.15889306319582
-1.1321568754358964,215.216521229408
-1.1314892167363775,215.25254824192743
-1.1311753498679624,215.22945963810662
-1.1301931296841063,215.26606363448764
-1.1292102160439241,215.25583177478188
-1.12822661011401,215.2520293066872
-1.1279100201552208,215.22881625172994
-1.1269249544573194,215.24788873954148
-1.1262573260863753,215.32011339654892
-1.1259391984402944,215.30544568157762
-1.124952753296003,215.31218440213962
-1.1239656202233341,215.2936762477271
-1.122977800428212,215.31254919620682
-1.1226569353400855,215.29915205886596
-1.12166765853432,215.34583487941194
-1.1210001055295047,215.36068207520913
-1.120677697077675,215.32483783396373
-1.1196870522015465,215.3326225768332
-1.1190196783881226,215.3950567470069
-1.1186957251443963,215.35034467077216
-1.1183713391353904,215.29844422041725
-1.1173785572501462,215.27399929643184
-1.1167110294762295,215.3261329119884
-1.115717663377496,215.35722895687596
-1.1153909546659513,215.33352059276748
-1.1143961365023038,215.30031639292565
-1.1134006421263187,215.29474462522685
-1.1124044728233917,215.29992171704367
-1.1114076298860196,215.3069039475012
-1.1110773792212147,215.26323721649155
-1.1100790867816899,215.171732946683
-1.1090801230032865,215.09821122533572
-1.1084130722987726,215.12550412221327
-1.1080804892043745,215.10531725024848
-1.1077474620392227,215.08521965813276
-1.1067463804943334,215.11096163567805
-1.1060792168541327,215.1262739820867
-1.105744631291069,215.08080207524685
-1.1047422157738003,215.0385031908596
-1.104075280420454,215.03271227594695
-1.1037391352940429,214.99443556503485
-1.102735391210459,214.92492350166066
-1.1017309848888572,214.9141500125399
-1.1007259177021942,214.8773064930997
-1.1003869794980827,214.83319318416412
-1.0993804708424961,214.79472291569056
-1.0987138062612494,214.82046491817732
-1.0983733038270624,214.78443484736175
-1.0973654798509311,214.73488171866853
-1.0963570003204164,214.70252207406534
-1.0953478666489955,214.69940992042046
-1.0950045587080897,214.6578725354757
-1.0939939881154386,214.63537990819972
-1.0933276425731626,214.66004062280513
-1.0929827659933329,214.6287125891682
-1.0926374294272185,214.597403776249
-1.0916247715927818,214.59721875853583
-1.0909583729271723,214.62132343018976
-1.089945204884266,214.5839388251739
-1.0895975107769758,214.5395371149958
-1.0885829107209022,214.57223745085395
-1.0875676661948936,214.47749671584862
-1.0865517786795678,214.47300377637106
-1.0858860901619793,214.50501897557632
