theta,r
-1.5704226059152302,176.82760280906382
-1.5698989273550203,176.73113969661262
-1.5698984573357426,176.70707952767242
-1.5698979868238552,176.6830192956714
-1.5693732099932352,176.59782324668447
-1.568847883371252,176.53929702252384
-1.5688468607198363,176.51527063417063
-1.5683207070430154,176.46052205019242
-1.5677940018479772,176.34051882813665
-1.567790843654523,176.2921170577545
-1.5672667445598039,176.27087608537346
-1.5672630297907202,176.22278145688273
-1.5667346620949785,176.1859889282551
-1.5667325224646365,176.16189451361888
-1.5667303805788617,176.13779999945803
-1.5662008983856106,176.07099267865974
-1.5656735628929839,176.02786232998756
-1.5656708600358655,176.00364111545377
-1.5651402649511923,175.88406008814846
-1.5651372775760455,175.85968276185594
-1.5651342870435674,175.83530503677042
-1.5646025698389985,175.75915275802691
-1.5640702935623403,175.65930755200947
-1.5640667335680332,175.63485976441723
-1.5635336136010773,175.54775279877268
-1.5629999328083772,175.4805827712972
-1.5629957997671722,175.45624786385324
-1.5629916623416986,175.43191260114446
-1.5624568487755413,175.36576942824314
-1.562452420816943,175.34157841459123
-1.5619167573298363,175.2855286134946
-1.5619120376194175,175.2611603812085
-1.5613755221224053,175.187147684057
-1.5608384410783214,175.08637743627452
-1.5608331398342525,175.06171665689573
-1.5608278329429555,175.037055173612
-1.5602896071349983,174.97097120152975
-1.55975081340292,174.9225487597325
-1.5597449206828393,174.89807693177923
-1.5597390216721918,174.87360460014258
-1.5591990771245083,174.79009093315548
-1.5586650445033536,174.7268230753713
-1.5586585622646996,174.68710185331253
-1.5586520730952342,174.66039430815127
-1.5581106944913665,174.5635639428927
-1.5575687437886916,174.46313286851145
-1.5575616607424574,174.43825866831793
-1.5575545701070075,174.41338353145213
-1.5570114576239111,174.37081376757655
-1.5564754512991639,174.31412672202904
-1.5564677706358652,174.28953961149347
-1.5559235085527527,174.2308166319985
-1.5559155233872786,174.20646279182284
-1.5559075296434162,174.18210857152016
-1.5553620977963705,174.12455167586427
-1.5553454891428762,174.07451496865414
-1.5548160884354765,174.01411881801656
-1.5547988831638355,173.96401120064561
-1.5542606041933058,173.8983598508044
-1.553713138638979,173.8166257254448
-1.5537039325616118,173.7918201154771
-1.5536947165576087,173.76701363684475
-1.553146070075234,173.6942978249104
