X,Y
0.15,-260.81150390625
0.36,-260.81150390625
0.57,-260.81150390625
0.78,-260.60150390625
0.99,-260.60150390625
1.2,-260.60150390625
1.2,-260.39150390625
1.41,-260.18150390625
1.62,-260.18150390625
1.83,-260.18150390625
2.04,-260.18150390625
2.25,-259.97150390625
2.46,-259.97150390625
2.67,-259.76150390625
2.88,-259.76150390625
3.09,-259.55150390625
3.3,-259.34150390625
3.51,-259.34150390625
3.72,-259.34150390625
3.93,-259.13150390625
4.14,-259.13150390625
4.35,-259.13150390625
4.56,-258.92150390625
4.77,-258.71150390625
4.98,-258.71150390625
5.19,-258.71150390625
5.4,-258.50150390625
5.61,-258.50150390625
5.82,-258.50150390625
6.03,-258.29150390625
6.24,-258.08150390625
6.45,-258.08150390625
6.66,-257.87150390625
6.87,-257.87150390625
7.08,-257.66150390625
7.29,-257.66150390625
7.5,-257.66150390625
7.71,-257.66150390625
7.71,-257.45150390625
7.92,-257.24150390625
8.13,-257.24150390625
8.34,-257.24150390625
8.55,-257.03150390625
8.76,-257.03150390625
8.97,-257.03150390625
9.18,-256.82150390625
9.39,-256.82150390625
9.6,-256.61150390625
9.81,-256.40150390625
10.02,-256.40150390625
10.23,-256.40150390625
10.44,-256.19150390625
10.65,-256.19150390625
10.86,-256.19150390625
11.07,-256.19150390625
11.07,-255.98150390625
11.28,-255.77150390625
11.49,-255.77150390625
11.7,-255.56150390625
11.91,-255.56150390625
12.12,-255.56150390625
12.33,-255.35150390625
12.54,-255.35150390625
12.75,-255.14150390625
12.96,-254.93150390625
13.17,-254.93150390625
13.38,-254.93150390625
13.59,-254.72150390625
13.8,-254.72150390625
14.01,-254.72150390625
14.22,-254.72150390625
14.22,-254.51150390625
14.43,-254.30150390625
14.64,-254.30150390625
14.85,-254.30150390625
15.06,-254.30150390625
15.27,-254.30150390625
15.48,-254.30150390625
15.69,-254.30150390625
15.9,-254.30150390625
16.11,-254.09150390625
16.32,-254.09150390625
16.53,-254.09150390625
16.74,-254.09150390625
16.95,-254.09150390625
17.16,-254.09150390625
17.37,-254.09150390625
17.58,-254.09150390625
17.79,-253.88150390625
18,-253.88150390625
18.21,-253.88150390625
18.42,-253.88150390625
18.63,-253.88150390625
18.84,-253.88150390625
19.05,-253.88150390625
19.26,-253.88150390625
19.47,-253.67150390625
19.68,-253.67150390625
19.89,-253.67150390625
20.1,-253.67150390625
20.31,-253.67150390625
20.52,-253.67150390625
20.73,-253.67150390625
20.94,-253.67150390625
21.15,-253.46150390625
21.36,-253.46150390625
21.57,-253.46150390625
21.78,-253.46150390625
21.99,-253.46150390625
22.2,-253.46150390625
22.41,-253.46150390625
22.62,-253.46150390625
22.83,-253.25150390625
23.04,-253.25150390625
23.25,-253.25150390625
23.46,-253.25150390625
23.67,-253.25150390625
23.88,-253.25150390625
24.09,-253.25150390625
24.3,-253.25150390625
24.51,-253.04150390625
24.72,-253.04150390625
24.93,-253.04150390625
25.14,-253.04150390625
25.35,-253.04150390625
25.56,-253.04150390625
25.77,-253.04150390625
25.98,-253.04150390625
26.19,-252.83150390625
26.4,-252.83150390625
26.61,-252.83150390625
26.82,-252.83150390625
27.03,-252.83150390625
27.24,-252.83150390625
27.45,-252.83150390625
27.66,-252.83150390625
27.87,-252.62150390625
28.08,-252.62150390625
28.29,-252.62150390625
28.5,-252.62150390625
28.71,-252.62150390625
28.92,-252.62150390625
29.13,-252.62150390625
29.34,-252.41150390625
29.55,-252.41150390625
29.76,-252.41150390625
29.97,-252.41150390625
30.18,-252.41150390625
30.39,-252.41150390625
30.6,-252.41150390625
30.81,-252.41150390625
31.02,-252.20150390625
31.23,-252.20150390625
31.44,-252.20150390625
31.65,-252.20150390625
31.86,-252.20150390625
32.07,-252.20150390625
32.28,-252.20150390625
32.49,-252.20150390625
32.7,-251.99150390625
32.91,-251.99150390625
33.12,-251.99150390625
33.33,-251.99150390625
33.54,-251.99150390625
33.75,-251.99150390625
33.96,-251.99150390625
34.17,-251.99150390625
34.38,-251.78150390625
34.59,-251.78150390625
34.8,-251.78150390625
35.01,-251.57150390625
35.22,-251.57150390625
35.43,-251.57150390625
35.64,-251.57150390625
35.85,-251.57150390625
35.85,-251.36150390625
36.06,-251.15150390625
36.27,-251.15150390625
36.48,-251.15150390625
36.69,-251.15150390625
